# started on Fri Apr  3 17:39:54 2026

#           time             counts unit events
     7.008005310      1,081,452,132      cycles                                                                  (36.59%)
     7.008005310        987,197,154      instructions                     #    0.91  insn per cycle              (45.59%)
     7.008005310        201,572,713      branches                                                                (45.61%)
     7.008005310          7,675,620      branch-misses                    #    3.81% of all branches             (45.54%)
     7.008005310        234,970,719      L1-dcache-loads                                                         (45.16%)
     7.008005310         47,622,350      L1-dcache-load-misses            #   20.27% of all L1-dcache accesses   (18.06%)
     7.008005310    <not supported>      L1-icache-loads                                                       
     7.008005310         11,071,937      L1-icache-load-misses                                                   (18.09%)
     7.008005310         13,223,209      LLC-loads                                                               (27.13%)
     7.008005310          1,687,749      LLC-load-misses                  #   12.76% of all LL-cache accesses    (36.16%)
     7.008005310          9,353,287      dTLB-load-misses                                                        (36.40%)
     7.008005310            271,741      iTLB-load-misses                                                        (36.55%)
     7.008005310              5,627      minor-faults                                                          
     7.008005310                  0      major-faults                                                          
     8.009270320      1,658,727,216      cycles                                                                  (36.26%)
     8.009270320      1,332,459,895      instructions                     #    0.80  insn per cycle              (45.14%)
     8.009270320        275,508,741      branches                                                                (44.85%)
     8.009270320         12,691,885      branch-misses                    #    4.61% of all branches             (44.20%)
     8.009270320        346,688,708      L1-dcache-loads                                                         (39.92%)
     8.009270320         30,746,492      L1-dcache-load-misses            #    8.87% of all L1-dcache accesses   (18.52%)
     8.009270320    <not supported>      L1-icache-loads                                                       
     8.009270320         24,831,904      L1-icache-load-misses                                                   (18.33%)
     8.009270320         11,336,218      LLC-loads                                                               (27.99%)
     8.009270320          3,082,267      LLC-load-misses                  #   27.19% of all LL-cache accesses    (37.16%)
     8.009270320          4,569,436      dTLB-load-misses                                                        (37.25%)
     8.009270320            563,692      iTLB-load-misses                                                        (36.90%)
     8.009270320             40,395      minor-faults                                                          
     8.009270320                  0      major-faults                                                          
     9.010638203      2,096,993,319      cycles                                                                  (36.92%)
     9.010638203      1,807,052,076      instructions                     #    0.86  insn per cycle              (46.47%)
     9.010638203        371,224,333      branches                                                                (46.48%)
     9.010638203         19,345,920      branch-misses                    #    5.21% of all branches             (46.41%)
     9.010638203        484,018,040      L1-dcache-loads                                                         (41.29%)
     9.010638203         34,353,718      L1-dcache-load-misses            #    7.10% of all L1-dcache accesses   (17.43%)
     9.010638203    <not supported>      L1-icache-loads                                                       
     9.010638203         34,261,015      L1-icache-load-misses                                                   (17.75%)
     9.010638203         13,274,775      LLC-loads                                                               (26.87%)
     9.010638203          3,618,934      LLC-load-misses                  #   27.26% of all LL-cache accesses    (35.95%)
     9.010638203          3,470,616      dTLB-load-misses                                                        (36.16%)
     9.010638203            813,627      iTLB-load-misses                                                        (36.51%)
     9.010638203             23,901      minor-faults                                                          
     9.010638203                  0      major-faults                                                          
    10.012010290      2,111,045,152      cycles                                                                  (36.18%)
    10.012010290      1,904,234,303      instructions                     #    0.90  insn per cycle              (45.44%)
    10.012010290        384,061,963      branches                                                                (45.78%)
    10.012010290         18,148,108      branch-misses                    #    4.73% of all branches             (45.59%)
    10.012010290        511,115,773      L1-dcache-loads                                                         (43.64%)
    10.012010290         32,613,374      L1-dcache-load-misses            #    6.38% of all L1-dcache accesses   (18.15%)
    10.012010290    <not supported>      L1-icache-loads                                                       
    10.012010290         33,229,115      L1-icache-load-misses                                                   (18.07%)
    10.012010290         12,134,382      LLC-loads                                                               (27.06%)
    10.012010290          3,363,433      LLC-load-misses                  #   27.72% of all LL-cache accesses    (35.97%)
    10.012010290          2,980,612      dTLB-load-misses                                                        (36.26%)
    10.012010290            731,884      iTLB-load-misses                                                        (36.26%)
    10.012010290             21,446      minor-faults                                                          
    10.012010290                  0      major-faults                                                          
    11.013419658      2,115,562,767      cycles                                                                  (35.10%)
    11.013419658      1,870,166,424      instructions                     #    0.88  insn per cycle              (43.97%)
    11.013419658        381,997,930      branches                                                                (43.74%)
    11.013419658         19,179,891      branch-misses                    #    5.02% of all branches             (44.16%)
    11.013419658        516,434,014      L1-dcache-loads                                                         (42.43%)
    11.013419658         32,594,206      L1-dcache-load-misses            #    6.31% of all L1-dcache accesses   (18.83%)
    11.013419658    <not supported>      L1-icache-loads                                                       
    11.013419658         34,777,943      L1-icache-load-misses                                                   (18.83%)
    11.013419658         12,712,358      LLC-loads                                                               (28.14%)
    11.013419658          3,662,726      LLC-load-misses                  #   28.81% of all LL-cache accesses    (37.46%)
    11.013419658          3,217,291      dTLB-load-misses                                                        (37.03%)
    11.013419658            727,993      iTLB-load-misses                                                        (36.12%)
    11.013419658             17,407      minor-faults                                                          
    11.013419658                  0      major-faults                                                          
    12.014152520      2,111,686,415      cycles                                                                  (36.09%)
    12.014152520      1,936,626,701      instructions                     #    0.92  insn per cycle              (45.22%)
    12.014152520        395,886,637      branches                                                                (45.92%)
    12.014152520         18,828,361      branch-misses                    #    4.76% of all branches             (46.34%)
    12.014152520        519,024,112      L1-dcache-loads                                                         (43.83%)
    12.014152520         32,623,815      L1-dcache-load-misses            #    6.29% of all L1-dcache accesses   (18.44%)
    12.014152520    <not supported>      L1-icache-loads                                                       
    12.014152520         33,141,564      L1-icache-load-misses                                                   (18.28%)
    12.014152520         13,186,485      LLC-loads                                                               (26.99%)
    12.014152520          3,929,871      LLC-load-misses                  #   29.80% of all LL-cache accesses    (35.50%)
    12.014152520          3,219,914      dTLB-load-misses                                                        (35.21%)
    12.014152520            681,564      iTLB-load-misses                                                        (35.53%)
    12.014152520             17,737      minor-faults                                                          
    12.014152520                  0      major-faults                                                          
    13.015548960      2,116,060,503      cycles                                                                  (36.84%)
    13.015548960      1,851,434,036      instructions                     #    0.87  insn per cycle              (45.94%)
    13.015548960        379,776,798      branches                                                                (46.01%)
    13.015548960         18,676,640      branch-misses                    #    4.92% of all branches             (45.60%)
    13.015548960        514,302,064      L1-dcache-loads                                                         (44.58%)
    13.015548960         31,524,196      L1-dcache-load-misses            #    6.13% of all L1-dcache accesses   (17.88%)
    13.015548960    <not supported>      L1-icache-loads                                                       
    13.015548960         33,286,291      L1-icache-load-misses                                                   (17.97%)
    13.015548960         13,304,238      LLC-loads                                                               (27.17%)
    13.015548960          3,983,401      LLC-load-misses                  #   29.94% of all LL-cache accesses    (36.21%)
    13.015548960          3,254,257      dTLB-load-misses                                                        (36.53%)
    13.015548960            735,705      iTLB-load-misses                                                        (36.75%)
    13.015548960             16,680      minor-faults                                                          
    13.015548960                  0      major-faults                                                          
    14.016087344      2,113,882,330      cycles                                                                  (37.06%)
    14.016087344      1,883,361,760      instructions                     #    0.89  insn per cycle              (46.58%)
    14.016087344        383,952,397      branches                                                                (46.50%)
    14.016087344         18,642,665      branch-misses                    #    4.86% of all branches             (46.09%)
    14.016087344        521,074,089      L1-dcache-loads                                                         (45.76%)
    14.016087344         33,914,149      L1-dcache-load-misses            #    6.51% of all L1-dcache accesses   (17.43%)
    14.016087344    <not supported>      L1-icache-loads                                                       
    14.016087344         31,080,128      L1-icache-load-misses                                                   (17.59%)
    14.016087344         13,254,878      LLC-loads                                                               (26.58%)
    14.016087344          4,151,284      LLC-load-misses                  #   31.32% of all LL-cache accesses    (35.88%)
    14.016087344          3,150,698      dTLB-load-misses                                                        (36.48%)
    14.016087344            693,566      iTLB-load-misses                                                        (36.65%)
    14.016087344             13,231      minor-faults                                                          
    14.016087344                  0      major-faults                                                          
    15.017007446      2,104,890,816      cycles                                                                  (36.39%)
    15.017007446      1,819,203,597      instructions                     #    0.86  insn per cycle              (45.24%)
    15.017007446        374,128,023      branches                                                                (45.11%)
