# started on Sat Mar  7 14:22:28 2026

#           time             counts unit events
     1.000660487      3,857,447,432      cycles                                                                
     1.000660487      7,434,262,960      instructions                     #    1.93  insn per cycle            
     1.000660487        279,472,799      cache-references                                                      
     1.000660487         29,465,541      cache-misses                     #   10.54% of all cache refs         
     1.000660487        121,516,313      L1-dcache-load-misses                                                 
     1.000660487    <not supported>      LLC-load-misses                                                       
     2.002004079            268,635      cycles                                                                
     2.002004079            169,691      instructions                     #    0.63  insn per cycle            
     2.002004079             20,260      cache-references                                                      
     2.002004079              3,484      cache-misses                     #   17.20% of all cache refs         
     2.002004079              7,968      L1-dcache-load-misses                                                 
     2.002004079    <not supported>      LLC-load-misses                                                       
     3.002109152            244,814      cycles                                                                
     3.002109152             62,626      instructions                     #    0.26  insn per cycle            
     3.002109152             10,182      cache-references                                                      
     3.002109152              2,749      cache-misses                     #   27.00% of all cache refs         
     3.002109152              3,338      L1-dcache-load-misses                                                 
     3.002109152    <not supported>      LLC-load-misses                                                       
     4.003022777            188,630      cycles                                                                
     4.003022777             44,683      instructions                     #    0.24  insn per cycle            
     4.003022777              7,649      cache-references                                                      
     4.003022777              2,520      cache-misses                     #   32.95% of all cache refs         
     4.003022777              2,503      L1-dcache-load-misses                                                 
     4.003022777    <not supported>      LLC-load-misses                                                       
     5.004060541            201,372      cycles                                                                
     5.004060541             49,952      instructions                     #    0.25  insn per cycle            
     5.004060541              7,244      cache-references                                                      
     5.004060541              3,363      cache-misses                     #   46.42% of all cache refs         
     5.004060541              2,202      L1-dcache-load-misses                                                 
     5.004060541    <not supported>      LLC-load-misses                                                       
     6.005122245            204,084      cycles                                                                
     6.005122245             50,082      instructions                     #    0.25  insn per cycle            
     6.005122245              7,914      cache-references                                                      
     6.005122245              2,679      cache-misses                     #   33.85% of all cache refs         
     6.005122245              2,305      L1-dcache-load-misses                                                 
     6.005122245    <not supported>      LLC-load-misses                                                       
     7.006381477            198,154      cycles                                                                
     7.006381477             48,488      instructions                     #    0.24  insn per cycle            
     7.006381477              7,759      cache-references                                                      
     7.006381477              2,954      cache-misses                     #   38.07% of all cache refs         
     7.006381477              2,400      L1-dcache-load-misses                                                 
     7.006381477    <not supported>      LLC-load-misses                                                       
     8.007447921            237,119      cycles                                                                
     8.007447921             51,923      instructions                     #    0.22  insn per cycle            
     8.007447921              7,139      cache-references                                                      
     8.007447921              3,443      cache-misses                     #   48.23% of all cache refs         
     8.007447921              2,216      L1-dcache-load-misses                                                 
     8.007447921    <not supported>      LLC-load-misses                                                       
     9.008521655            254,811      cycles                                                                
     9.008521655             97,400      instructions                     #    0.38  insn per cycle            
     9.008521655             12,355      cache-references                                                      
     9.008521655              3,727      cache-misses                     #   30.17% of all cache refs         
     9.008521655              4,686      L1-dcache-load-misses                                                 
     9.008521655    <not supported>      LLC-load-misses                                                       
    10.009589359            230,668      cycles                                                                
    10.009589359             83,347      instructions                     #    0.36  insn per cycle            
    10.009589359             11,104      cache-references                                                      
    10.009589359              3,407      cache-misses                     #   30.68% of all cache refs         
    10.009589359              3,896      L1-dcache-load-misses                                                 
    10.009589359    <not supported>      LLC-load-misses                                                       
    11.010135078            245,767      cycles                                                                
    11.010135078             91,515      instructions                     #    0.37  insn per cycle            
