# started on Fri Apr  3 22:58:49 2026

#           time             counts   unit events
   112.193852451              55.39 Joules power/energy-pkg/                                                     
   113.196800457              55.53 Joules power/energy-pkg/                                                     
   114.200600635              55.89 Joules power/energy-pkg/                                                     
   115.201839487              55.26 Joules power/energy-pkg/                                                     
   116.203094102              55.26 Joules power/energy-pkg/                                                     
   117.204314397              55.34 Joules power/energy-pkg/                                                     
   118.205531150              55.22 Joules power/energy-pkg/                                                     
   119.206791270              55.43 Joules power/energy-pkg/                                                     
   120.208031960              55.55 Joules power/energy-pkg/                                                     
   121.209324877              54.82 Joules power/energy-pkg/                                                     
   122.210591161              55.71 Joules power/energy-pkg/                                                     
   123.211824176              55.73 Joules power/energy-pkg/                                                     
   124.212587449              55.58 Joules power/energy-pkg/                                                     
   125.213841849              55.32 Joules power/energy-pkg/                                                     
   126.214602062              55.18 Joules power/energy-pkg/                                                     
   127.215588673              55.11 Joules power/energy-pkg/                                                     
   128.216820357              55.82 Joules power/energy-pkg/                                                     
   129.217596136              55.23 Joules power/energy-pkg/                                                     
   130.218598593              55.07 Joules power/energy-pkg/                                                     
#           time             counts   unit events
   131.219630584              55.08 Joules power/energy-pkg/                                                     
   132.220876321              55.02 Joules power/energy-pkg/                                                     
   133.222132994              55.06 Joules power/energy-pkg/                                                     
   134.222595324              55.85 Joules power/energy-pkg/                                                     
   135.223830001              55.51 Joules power/energy-pkg/                                                     
   136.225751146              55.43 Joules power/energy-pkg/                                                     
   137.228621442              55.55 Joules power/energy-pkg/                                                     
   138.229594052              56.38 Joules power/energy-pkg/                                                     
   139.230815955              56.48 Joules power/energy-pkg/                                                     
   140.232027173              56.47 Joules power/energy-pkg/                                                     
   141.233244292              56.20 Joules power/energy-pkg/                                                     
   142.234520868              56.19 Joules power/energy-pkg/                                                     
   143.235765743              56.22 Joules power/energy-pkg/                                                     
   144.236983216              55.92 Joules power/energy-pkg/                                                     
   145.238229485              55.42 Joules power/energy-pkg/                                                     
   146.239468062              55.16 Joules power/energy-pkg/                                                     
   147.240732654              55.12 Joules power/energy-pkg/                                                     
   148.241957192              54.80 Joules power/energy-pkg/                                                     
   149.243193990              55.74 Joules power/energy-pkg/                                                     
   150.244434012              55.09 Joules power/energy-pkg/                                                     
   151.245681705              54.86 Joules power/energy-pkg/                                                     
   152.246904865              54.83 Joules power/energy-pkg/                                                     
   153.248149174              55.20 Joules power/energy-pkg/                                                     
   154.248584292              55.69 Joules power/energy-pkg/                                                     
   155.249826824              55.25 Joules power/energy-pkg/                                                     
   156.250594810              55.04 Joules power/energy-pkg/                                                     
#           time             counts   unit events
   157.251808744              54.87 Joules power/energy-pkg/                                                     
   158.252601484              55.05 Joules power/energy-pkg/                                                     
   159.253815851              55.13 Joules power/energy-pkg/                                                     
   160.255028309              55.97 Joules power/energy-pkg/                                                     
   161.256269867              55.88 Joules power/energy-pkg/                                                     
   162.257491153              55.80 Joules power/energy-pkg/                                                     
   163.258742053              55.50 Joules power/energy-pkg/                                                     
   164.259955117              55.87 Joules power/energy-pkg/                                                     
   165.261195410              55.01 Joules power/energy-pkg/                                                     
   166.262431124              55.35 Joules power/energy-pkg/                                                     
   167.263674135              55.33 Joules power/energy-pkg/                                                     
   168.267773621              55.37 Joules power/energy-pkg/                                                     
   169.272604809              53.97 Joules power/energy-pkg/                                                     
   170.274747618              53.87 Joules power/energy-pkg/                                                     
   171.276601916              54.37 Joules power/energy-pkg/                                                     
   172.277593404              55.17 Joules power/energy-pkg/                                                     
   173.278589972              55.17 Joules power/energy-pkg/                                                     
   174.279800576              55.90 Joules power/energy-pkg/                                                     
   175.281044612              55.50 Joules power/energy-pkg/                                                     
   176.282278934              56.02 Joules power/energy-pkg/                                                     
   177.283516784              56.54 Joules power/energy-pkg/                                                     
   178.284786341              56.48 Joules power/energy-pkg/                                                     
   179.286018953              56.79 Joules power/energy-pkg/                                                     
   180.287259739              56.78 Joules power/energy-pkg/                                                     
   181.289792887              56.15 Joules power/energy-pkg/                                                     
   182.291018528              55.75 Joules power/energy-pkg/                                                     
#           time             counts   unit events
   183.292267721              55.59 Joules power/energy-pkg/                                                     
   184.293510115              56.09 Joules power/energy-pkg/                                                     
   185.294767689              56.48 Joules power/energy-pkg/                                                     
   186.295990223              56.59 Joules power/energy-pkg/                                                     
   187.297237829              56.47 Joules power/energy-pkg/                                                     
   188.298487942              56.42 Joules power/energy-pkg/                                                     
   189.299750592              56.17 Joules power/energy-pkg/                                                     
   190.300970057              56.07 Joules power/energy-pkg/                                                     
   191.302215496              55.98 Joules power/energy-pkg/                                                     
   192.303464441              56.07 Joules power/energy-pkg/                                                     
   193.304746425              56.02 Joules power/energy-pkg/                                                     
   194.305967923              56.32 Joules power/energy-pkg/                                                     
   195.307213700              56.34 Joules power/energy-pkg/                                                     
   196.308462688              56.17 Joules power/energy-pkg/                                                     
   197.309747072              55.69 Joules power/energy-pkg/                                                     
   198.310976952              56.07 Joules power/energy-pkg/                                                     
   199.314786150              55.43 Joules power/energy-pkg/                                                     
   200.316636691              55.18 Joules power/energy-pkg/                                                     
   201.319789537              55.20 Joules power/energy-pkg/                                                     
   202.322790787              55.18 Joules power/energy-pkg/                                                     
   203.324757931              55.30 Joules power/energy-pkg/                                                     
   204.328774177              55.15 Joules power/energy-pkg/                                                     
   205.330701374              55.44 Joules power/energy-pkg/                                                     
   206.332752280              55.63 Joules power/energy-pkg/                                                     
   207.335773012              56.11 Joules power/energy-pkg/                                                     
   208.337019432              56.24 Joules power/energy-pkg/                                                     
#           time             counts   unit events
   209.338266723              56.25 Joules power/energy-pkg/                                                     
   210.339510063              56.21 Joules power/energy-pkg/                                                     
   211.340755166              56.13 Joules power/energy-pkg/                                                     
   212.341980592              56.24 Joules power/energy-pkg/                                                     
   213.343265934              55.94 Joules power/energy-pkg/                                                     
   214.344519624              56.23 Joules power/energy-pkg/                                                     
   215.345754197              55.76 Joules power/energy-pkg/                                                     
   216.346980632              55.50 Joules power/energy-pkg/                                                     
   217.348223739              55.55 Joules power/energy-pkg/                                                     
   218.349467353              55.58 Joules power/energy-pkg/                                                     
   219.350741565              56.30 Joules power/energy-pkg/                                                     
   220.353760685              56.42 Joules power/energy-pkg/                                                     
   221.355757567              56.36 Joules power/energy-pkg/                                                     
   222.359765307              56.25 Joules power/energy-pkg/                                                     
   223.362774465              56.34 Joules power/energy-pkg/                                                     
   224.366772868              56.50 Joules power/energy-pkg/                                                     
   225.373784734              56.33 Joules power/energy-pkg/                                                     
   226.377627350              56.55 Joules power/energy-pkg/                                                     
   227.381346095              55.78 Joules power/energy-pkg/                                                     
   228.383593809              56.72 Joules power/energy-pkg/                                                     
   229.384828382              56.77 Joules power/energy-pkg/                                                     
   230.386073635              56.71 Joules power/energy-pkg/                                                     
   231.387321146              56.66 Joules power/energy-pkg/                                                     
   232.388583750              56.71 Joules power/energy-pkg/                                                     
   233.389804829              56.73 Joules power/energy-pkg/                                                     
   234.391019760              56.64 Joules power/energy-pkg/                                                     
#           time             counts   unit events
   235.391626390              56.14 Joules power/energy-pkg/                                                     
   236.393309898              56.36 Joules power/energy-pkg/                                                     
   237.394584956              55.76 Joules power/energy-pkg/                                                     
   238.395811992              55.77 Joules power/energy-pkg/                                                     
   239.397041560              56.76 Joules power/energy-pkg/                                                     
   240.398295082              56.50 Joules power/energy-pkg/                                                     
   241.399546765              56.34 Joules power/energy-pkg/                                                     
   242.400810957              56.62 Joules power/energy-pkg/                                                     
   243.402068307              56.21 Joules power/energy-pkg/                                                     
   244.405787774              55.03 Joules power/energy-pkg/                                                     
   245.409828584              54.99 Joules power/energy-pkg/                                                     
   246.411813816              55.14 Joules power/energy-pkg/                                                     
   247.415770005              55.06 Joules power/energy-pkg/                                                     
   248.418810845              55.03 Joules power/energy-pkg/                                                     
   249.421778292              55.09 Joules power/energy-pkg/                                                     
   250.425774320              55.62 Joules power/energy-pkg/                                                     
   251.426998055              55.03 Joules power/energy-pkg/                                                     
   252.428243673              54.95 Joules power/energy-pkg/                                                     
   253.429485959              55.05 Joules power/energy-pkg/                                                     
   254.430745768              54.78 Joules power/energy-pkg/                                                     
   255.431988538              55.68 Joules power/energy-pkg/                                                     
   256.433241531              55.06 Joules power/energy-pkg/                                                     
   257.434485224              56.05 Joules power/energy-pkg/                                                     
   258.435735178              56.25 Joules power/energy-pkg/                                                     
   259.436956566              56.26 Joules power/energy-pkg/                                                     
   260.438210715              56.02 Joules power/energy-pkg/                                                     
#           time             counts   unit events
   261.444797677              55.34 Joules power/energy-pkg/                                                     
   262.448776872              55.38 Joules power/energy-pkg/                                                     
   263.452774685              55.88 Joules power/energy-pkg/                                                     
   264.456791732              55.03 Joules power/energy-pkg/                                                     
   265.458756754              55.64 Joules power/energy-pkg/                                                     
   266.460752015              56.15 Joules power/energy-pkg/                                                     
   267.462750161              55.89 Joules power/energy-pkg/                                                     
   268.465589588              55.46 Joules power/energy-pkg/                                                     
   269.466814755              55.98 Joules power/energy-pkg/                                                     
   270.468042686              55.29 Joules power/energy-pkg/                                                     
   271.469282641              55.08 Joules power/energy-pkg/                                                     
   272.470526985              55.93 Joules power/energy-pkg/                                                     
   273.471768799              55.16 Joules power/energy-pkg/                                                     
   274.472992289              55.08 Joules power/energy-pkg/                                                     
   275.474239631              55.24 Joules power/energy-pkg/                                                     
   276.475486222              55.97 Joules power/energy-pkg/                                                     
   277.478626408              56.35 Joules power/energy-pkg/                                                     
   278.481345733              55.37 Joules power/energy-pkg/                                                     
   279.482543851              55.39 Joules power/energy-pkg/                                                     
   280.484750361              55.42 Joules power/energy-pkg/                                                     
   281.486763100              55.30 Joules power/energy-pkg/                                                     
   282.488601454              55.30 Joules power/energy-pkg/                                                     
   283.490752962              55.25 Joules power/energy-pkg/                                                     
   284.492826211              55.30 Joules power/energy-pkg/                                                     
   285.495767343              55.19 Joules power/energy-pkg/                                                     
