# started on Fri Apr  3 18:43:37 2026

#           time             counts   unit events
   112.191717805              96.11 Joules power/energy-pkg/                                                     
   113.194690771              94.61 Joules power/energy-pkg/                                                     
   114.198694743              95.69 Joules power/energy-pkg/                                                     
   115.202712533              92.62 Joules power/energy-pkg/                                                     
   116.203713683              88.13 Joules power/energy-pkg/                                                     
   117.204712664              89.44 Joules power/energy-pkg/                                                     
   118.205711728              89.89 Joules power/energy-pkg/                                                     
   119.206685063              96.02 Joules power/energy-pkg/                                                     
   120.207717253              96.55 Joules power/energy-pkg/                                                     
   121.208699760             105.89 Joules power/energy-pkg/                                                     
   122.209697364              97.49 Joules power/energy-pkg/                                                     
   123.213713924              95.38 Joules power/energy-pkg/                                                     
   124.214723236              95.42 Joules power/energy-pkg/                                                     
   125.215721915              92.39 Joules power/energy-pkg/                                                     
   126.216721983              95.47 Joules power/energy-pkg/                                                     
   127.217722054              95.16 Joules power/energy-pkg/                                                     
   128.218722179              94.34 Joules power/energy-pkg/                                                     
   129.221728939              91.50 Joules power/energy-pkg/                                                     
   130.225733559              87.63 Joules power/energy-pkg/                                                     
#           time             counts   unit events
   131.229972932              89.37 Joules power/energy-pkg/                                                     
   132.231698822              92.15 Joules power/energy-pkg/                                                     
   133.235722708              92.35 Joules power/energy-pkg/                                                     
   134.239727091              92.35 Joules power/energy-pkg/                                                     
   135.242725187              89.46 Joules power/energy-pkg/                                                     
   136.246726914              95.49 Joules power/energy-pkg/                                                     
   137.248722223              95.14 Joules power/energy-pkg/                                                     
   138.249722305              93.65 Joules power/energy-pkg/                                                     
   139.250723017              93.14 Joules power/energy-pkg/                                                     
   140.252002598              88.28 Joules power/energy-pkg/                                                     
   141.253311978              82.69 Joules power/energy-pkg/                                                     
   142.254618713              80.57 Joules power/energy-pkg/                                                     
   143.255957572              84.69 Joules power/energy-pkg/                                                     
   144.256727766              90.55 Joules power/energy-pkg/                                                     
   145.259798821              84.72 Joules power/energy-pkg/                                                     
   146.261072550              82.92 Joules power/energy-pkg/                                                     
   147.262362661              87.14 Joules power/energy-pkg/                                                     
   148.263688247              89.49 Joules power/energy-pkg/                                                     
   149.264996016              85.64 Joules power/energy-pkg/                                                     
   150.268253437              83.31 Joules power/energy-pkg/                                                     
   151.270683136              85.84 Joules power/energy-pkg/                                                     
   152.271934493              89.99 Joules power/energy-pkg/                                                     
   153.273216604              89.99 Joules power/energy-pkg/                                                     
   154.274492124              85.27 Joules power/energy-pkg/                                                     
   155.275769831              81.08 Joules power/energy-pkg/                                                     
   156.277026031              86.35 Joules power/energy-pkg/                                                     
#           time             counts   unit events
   157.279936043              91.06 Joules power/energy-pkg/                                                     
   158.283773800              97.94 Joules power/energy-pkg/                                                     
   159.287913853             105.79 Joules power/energy-pkg/                                                     
   160.291890265             101.24 Joules power/energy-pkg/                                                     
   161.294898132              96.33 Joules power/energy-pkg/                                                     
   162.296187492              93.31 Joules power/energy-pkg/                                                     
   163.296693537              89.60 Joules power/energy-pkg/                                                     
   164.297985486              87.57 Joules power/energy-pkg/                                                     
   165.299274536              85.62 Joules power/energy-pkg/                                                     
   166.299718006              90.41 Joules power/energy-pkg/                                                     
   167.301030285             103.98 Joules power/energy-pkg/                                                     
   168.302325944              91.87 Joules power/energy-pkg/                                                     
   169.302717864              92.58 Joules power/energy-pkg/                                                     
   170.303993697              91.06 Joules power/energy-pkg/                                                     
   171.305298380              93.41 Joules power/energy-pkg/                                                     
   172.306588824              91.96 Joules power/energy-pkg/                                                     
   173.307230457              90.76 Joules power/energy-pkg/                                                     
   174.308522553              93.27 Joules power/energy-pkg/                                                     
   175.309702744              93.74 Joules power/energy-pkg/                                                     
   176.312694813              97.20 Joules power/energy-pkg/                                                     
   177.313728395              95.45 Joules power/energy-pkg/                                                     
   178.314724909              94.84 Joules power/energy-pkg/                                                     
   179.315727810              90.74 Joules power/energy-pkg/                                                     
   180.316694838              86.98 Joules power/energy-pkg/                                                     
   181.317951610              88.80 Joules power/energy-pkg/                                                     
   182.319240885              85.93 Joules power/energy-pkg/                                                     
#           time             counts   unit events
   183.319709107              92.22 Joules power/energy-pkg/                                                     
   184.320985836              95.98 Joules power/energy-pkg/                                                     
   185.322273010              94.04 Joules power/energy-pkg/                                                     
   186.323560283              98.42 Joules power/energy-pkg/                                                     
   187.324885070              96.59 Joules power/energy-pkg/                                                     
   188.326142966              94.65 Joules power/energy-pkg/                                                     
   189.327430770              96.41 Joules power/energy-pkg/                                                     
   190.328752137              94.54 Joules power/energy-pkg/                                                     
   191.329469485              94.07 Joules power/energy-pkg/                                                     
   192.330762135              92.38 Joules power/energy-pkg/                                                     
   193.331995394              88.79 Joules power/energy-pkg/                                                     
   194.332726407              92.62 Joules power/energy-pkg/                                                     
   195.334716290              96.76 Joules power/energy-pkg/                                                     
   196.335733016              99.31 Joules power/energy-pkg/                                                     
   197.336728254             103.30 Joules power/energy-pkg/                                                     
   198.337996361              95.87 Joules power/energy-pkg/                                                     
   199.339271580             100.44 Joules power/energy-pkg/                                                     
   200.339674930              97.23 Joules power/energy-pkg/                                                     
   201.340933996              99.94 Joules power/energy-pkg/                                                     
   202.342247587             101.06 Joules power/energy-pkg/                                                     
   203.343561901              97.83 Joules power/energy-pkg/                                                     
   204.344683748             100.14 Joules power/energy-pkg/                                                     
   205.345973242             100.09 Joules power/energy-pkg/                                                     
   206.347255507              99.71 Joules power/energy-pkg/                                                     
   207.348564605              98.17 Joules power/energy-pkg/                                                     
   208.349875689              92.66 Joules power/energy-pkg/                                                     
#           time             counts   unit events
   209.351151508              93.04 Joules power/energy-pkg/                                                     
   210.353188805              91.20 Joules power/energy-pkg/                                                     
   211.354491764              89.35 Joules power/energy-pkg/                                                     
   212.355793593              90.47 Joules power/energy-pkg/                                                     
   213.357116722              82.70 Joules power/energy-pkg/                                                     
   214.358426509              88.25 Joules power/energy-pkg/                                                     
   215.359756854              85.62 Joules power/energy-pkg/                                                     
   216.361002035              85.89 Joules power/energy-pkg/                                                     
   217.362275422              86.05 Joules power/energy-pkg/                                                     
   218.363554990              85.80 Joules power/energy-pkg/                                                     
   219.364870210              85.02 Joules power/energy-pkg/                                                     
   220.366130192              87.39 Joules power/energy-pkg/                                                     
   221.367399214              91.17 Joules power/energy-pkg/                                                     
   222.368676429              89.64 Joules power/energy-pkg/                                                     
   223.369982111              87.37 Joules power/energy-pkg/                                                     
   224.371279224              89.09 Joules power/energy-pkg/                                                     
   225.372578823              92.74 Joules power/energy-pkg/                                                     
   226.373899584              93.54 Joules power/energy-pkg/                                                     
   227.375239695              94.59 Joules power/energy-pkg/                                                     
   228.376557463              89.72 Joules power/energy-pkg/                                                     
   229.377882957              92.57 Joules power/energy-pkg/                                                     
   230.379171383              93.07 Joules power/energy-pkg/                                                     
   231.380471114              90.87 Joules power/energy-pkg/                                                     
   232.381802936              90.69 Joules power/energy-pkg/                                                     
   233.383084708              87.42 Joules power/energy-pkg/                                                     
   234.384381768              91.49 Joules power/energy-pkg/                                                     
#           time             counts   unit events
   235.385730309              86.63 Joules power/energy-pkg/                                                     
   236.386733274              90.45 Joules power/energy-pkg/                                                     
   237.388729298              92.26 Joules power/energy-pkg/                                                     
   238.389698366              91.39 Joules power/energy-pkg/                                                     
   239.392885109              93.47 Joules power/energy-pkg/                                                     
   240.394894927              91.47 Joules power/energy-pkg/                                                     
   241.398903106              91.12 Joules power/energy-pkg/                                                     
   242.401905419              90.83 Joules power/energy-pkg/                                                     
   243.405684974              90.40 Joules power/energy-pkg/                                                     
   244.407879734              95.48 Joules power/energy-pkg/                                                     
   245.411716920              99.54 Joules power/energy-pkg/                                                     
   246.415693298             103.61 Joules power/energy-pkg/                                                     
   247.417689461             104.43 Joules power/energy-pkg/                                                     
   248.422693803             103.02 Joules power/energy-pkg/                                                     
   249.424723953             100.80 Joules power/energy-pkg/                                                     
   250.426718484              99.00 Joules power/energy-pkg/                                                     
   251.428723372              98.30 Joules power/energy-pkg/                                                     
   252.430701927              96.83 Joules power/energy-pkg/                                                     
   253.432729509              92.17 Joules power/energy-pkg/                                                     
   254.434695535              94.57 Joules power/energy-pkg/                                                     
   255.436704702              98.15 Joules power/energy-pkg/                                                     
   256.437707092              98.16 Joules power/energy-pkg/                                                     
   257.440705467             101.82 Joules power/energy-pkg/                                                     
   258.441715237              96.12 Joules power/energy-pkg/                                                     
   259.442719116              95.75 Joules power/energy-pkg/                                                     
   260.446699636              97.63 Joules power/energy-pkg/                                                     
#           time             counts   unit events
   261.447722225              98.86 Joules power/energy-pkg/                                                     
   262.448688845              99.58 Joules power/energy-pkg/                                                     
   263.449691029              98.83 Joules power/energy-pkg/                                                     
   264.451720593              99.29 Joules power/energy-pkg/                                                     
   265.453718730              99.00 Joules power/energy-pkg/                                                     
   266.454721589              92.94 Joules power/energy-pkg/                                                     
   267.457720920              93.19 Joules power/energy-pkg/                                                     
   268.458721678              95.75 Joules power/energy-pkg/                                                     
   269.459723846              96.45 Joules power/energy-pkg/                                                     
   270.460727052              98.73 Joules power/energy-pkg/                                                     
   271.461726118              98.45 Joules power/energy-pkg/                                                     
   272.462721223              97.87 Joules power/energy-pkg/                                                     
   273.463684141              96.00 Joules power/energy-pkg/                                                     
   274.464721159              98.87 Joules power/energy-pkg/                                                     
   275.465723279              97.97 Joules power/energy-pkg/                                                     
   276.466721959              96.45 Joules power/energy-pkg/                                                     
   277.467726924              98.57 Joules power/energy-pkg/                                                     
   278.468722351              97.09 Joules power/energy-pkg/                                                     
   279.472724488              95.69 Joules power/energy-pkg/                                                     
   280.473718886              96.29 Joules power/energy-pkg/                                                     
   281.474688480              96.25 Joules power/energy-pkg/                                                     
   282.475721669              95.92 Joules power/energy-pkg/                                                     
   283.476719532              96.19 Joules power/energy-pkg/                                                     
   284.477721248              97.81 Joules power/energy-pkg/                                                     
   285.478725125              97.37 Joules power/energy-pkg/                                                     
   286.479724586              97.94 Joules power/energy-pkg/                                                     
#           time             counts   unit events
   287.480692726             101.30 Joules power/energy-pkg/                                                     
   288.481699917              99.15 Joules power/energy-pkg/                                                     
   289.482730478              98.85 Joules power/energy-pkg/                                                     
   290.483718436              97.66 Joules power/energy-pkg/                                                     
   291.484726604              96.08 Joules power/energy-pkg/                                                     
   292.485702365              96.22 Joules power/energy-pkg/                                                     
   293.486701832              95.00 Joules power/energy-pkg/                                                     
   294.487738386              96.88 Joules power/energy-pkg/                                                     
   295.488732939              96.20 Joules power/energy-pkg/                                                     
   296.489739215              93.48 Joules power/energy-pkg/                                                     
   297.490736938              93.59 Joules power/energy-pkg/                                                     
   298.492740245              93.43 Joules power/energy-pkg/                                                     
   299.493733818              96.60 Joules power/energy-pkg/                                                     
   300.494740773              93.67 Joules power/energy-pkg/                                                     
   301.495735549              90.88 Joules power/energy-pkg/                                                     
   302.496736052              92.42 Joules power/energy-pkg/                                                     
   303.499731458              91.14 Joules power/energy-pkg/                                                     
   304.500731675              90.89 Joules power/energy-pkg/                                                     
   305.501738536              93.05 Joules power/energy-pkg/                                                     
   306.502741722              93.01 Joules power/energy-pkg/                                                     
   307.503737037              92.58 Joules power/energy-pkg/                                                     
   308.504744131              92.19 Joules power/energy-pkg/                                                     
   309.505718636              93.32 Joules power/energy-pkg/                                                     
   310.506734595              94.64 Joules power/energy-pkg/                                                     
   311.507740243              93.47 Joules power/energy-pkg/                                                     
   312.508711246              92.87 Joules power/energy-pkg/                                                     
#           time             counts   unit events
   313.509711810              90.75 Joules power/energy-pkg/                                                     
   314.513708107              89.13 Joules power/energy-pkg/                                                     
   315.514731090              90.76 Joules power/energy-pkg/                                                     
   316.515716645              93.23 Joules power/energy-pkg/                                                     
   317.516717154              95.95 Joules power/energy-pkg/                                                     
   318.517722428              91.14 Joules power/energy-pkg/                                                     
   319.519041424              88.59 Joules power/energy-pkg/                                                     
   320.519549941              86.29 Joules power/energy-pkg/                                                     
   321.520887689              88.86 Joules power/energy-pkg/                                                     
   322.522184321              88.35 Joules power/energy-pkg/                                                     
   323.525915681              86.10 Joules power/energy-pkg/                                                     
   324.526685849              84.47 Joules power/energy-pkg/                                                     
   325.527205069              87.35 Joules power/energy-pkg/                                                     
   326.530277712              87.94 Joules power/energy-pkg/                                                     
   327.531564821              90.37 Joules power/energy-pkg/                                                     
   328.532871367              89.04 Joules power/energy-pkg/                                                     
   329.534165398              88.15 Joules power/energy-pkg/                                                     
   330.535317415              91.51 Joules power/energy-pkg/                                                     
   331.535707208              93.69 Joules power/energy-pkg/                                                     
   332.540729280              94.91 Joules power/energy-pkg/                                                     
   333.543709952              94.76 Joules power/energy-pkg/                                                     
   334.545737235              93.85 Joules power/energy-pkg/                                                     
   335.549704167              99.61 Joules power/energy-pkg/                                                     
   336.553687930             100.28 Joules power/energy-pkg/                                                     
   337.555708001             102.88 Joules power/energy-pkg/                                                     
   338.557714217             104.15 Joules power/energy-pkg/                                                     
#           time             counts   unit events
   339.561745748             101.02 Joules power/energy-pkg/                                                     
   340.565731664             103.96 Joules power/energy-pkg/                                                     
   341.567741113             101.40 Joules power/energy-pkg/                                                     
   342.570822716              97.94 Joules power/energy-pkg/                                                     
   343.572143240              97.39 Joules power/energy-pkg/                                                     
   344.573461213              95.45 Joules power/energy-pkg/                                                     
   345.574824178              94.99 Joules power/energy-pkg/                                                     
   346.576145594              95.24 Joules power/energy-pkg/                                                     
   347.577474390              95.69 Joules power/energy-pkg/                                                     
   348.578797616              93.96 Joules power/energy-pkg/                                                     
   349.580093912              94.48 Joules power/energy-pkg/                                                     
   350.580689129              94.98 Joules power/energy-pkg/                                                     
   351.581697077              94.64 Joules power/energy-pkg/                                                     
   352.582520180              97.89 Joules power/energy-pkg/                                                     
   353.583874319              98.82 Joules power/energy-pkg/                                                     
   354.585020305              98.50 Joules power/energy-pkg/                                                     
   355.586346978             100.44 Joules power/energy-pkg/                                                     
   356.587673902             104.34 Joules power/energy-pkg/                                                     
   357.588679343             103.09 Joules power/energy-pkg/                                                     
   358.589677634             102.81 Joules power/energy-pkg/                                                     
   359.590682197             100.11 Joules power/energy-pkg/                                                     
   360.591688359             100.38 Joules power/energy-pkg/                                                     
   361.592965046             100.72 Joules power/energy-pkg/                                                     
   362.594288204             100.69 Joules power/energy-pkg/                                                     
   363.594674719              99.24 Joules power/energy-pkg/                                                     
   364.595688009              96.68 Joules power/energy-pkg/                                                     
#           time             counts   unit events
   365.596980217              98.08 Joules power/energy-pkg/                                                     
   366.598285279              96.70 Joules power/energy-pkg/                                                     
   367.598687453              96.57 Joules power/energy-pkg/                                                     
   368.599730075              96.76 Joules power/energy-pkg/                                                     
   369.601027279              99.63 Joules power/energy-pkg/                                                     
   370.602368358              99.28 Joules power/energy-pkg/                                                     
   371.603706418              98.80 Joules power/energy-pkg/                                                     
   372.605026733              95.93 Joules power/energy-pkg/                                                     
   373.606361104              95.76 Joules power/energy-pkg/                                                     
   374.607668671              95.21 Joules power/energy-pkg/                                                     
   375.608953470              95.71 Joules power/energy-pkg/                                                     
   376.610277663              97.23 Joules power/energy-pkg/                                                     
   377.613685673              98.36 Joules power/energy-pkg/                                                     
   378.614963913              95.71 Joules power/energy-pkg/                                                     
   379.616278518              94.33 Joules power/energy-pkg/                                                     
   380.617600757              94.00 Joules power/energy-pkg/                                                     
   381.618723563              93.64 Joules power/energy-pkg/                                                     
   382.619385607              93.51 Joules power/energy-pkg/                                                     
   383.620734068              93.62 Joules power/energy-pkg/                                                     
   384.622026683              93.49 Joules power/energy-pkg/                                                     
   385.623340315              93.55 Joules power/energy-pkg/                                                     
   386.624671016              93.53 Joules power/energy-pkg/                                                     
   387.625977617              93.46 Joules power/energy-pkg/                                                     
   388.627279272              91.07 Joules power/energy-pkg/                                                     
   389.627681928              93.61 Joules power/energy-pkg/                                                     
