# started on Sat Mar  7 14:20:17 2026

#           time             counts unit events
     1.001017269      4,111,074,228      cycles                                                                
     1.001017269      7,445,439,368      instructions                     #    1.81  insn per cycle            
     1.001017269        294,962,114      cache-references                                                      
     1.001017269         31,523,416      cache-misses                     #   10.69% of all cache refs         
     1.001017269        129,190,808      L1-dcache-load-misses                                                 
     1.001017269    <not supported>      LLC-load-misses                                                       
     2.002314365            138,598      cycles                                                                
     2.002314365             47,141      instructions                     #    0.34  insn per cycle            
     2.002314365              7,092      cache-references                                                      
     2.002314365              2,459      cache-misses                     #   34.67% of all cache refs         
     2.002314365              1,735      L1-dcache-load-misses                                                 
     2.002314365    <not supported>      LLC-load-misses                                                       
     3.003368193            121,948      cycles                                                                
     3.003368193             46,869      instructions                     #    0.38  insn per cycle            
     3.003368193              6,616      cache-references                                                      
     3.003368193              2,232      cache-misses                     #   33.74% of all cache refs         
     3.003368193              1,635      L1-dcache-load-misses                                                 
     3.003368193    <not supported>      LLC-load-misses                                                       
     4.004425321            180,707      cycles                                                                
     4.004425321             86,050      instructions                     #    0.48  insn per cycle            
     4.004425321             11,165      cache-references                                                      
     4.004425321              2,528      cache-misses                     #   22.64% of all cache refs         
     4.004425321              3,744      L1-dcache-load-misses                                                 
     4.004425321    <not supported>      LLC-load-misses                                                       
     5.005481789            160,812      cycles                                                                
     5.005481789             50,509      instructions                     #    0.31  insn per cycle            
     5.005481789              8,075      cache-references                                                      
     5.005481789              3,203      cache-misses                     #   39.67% of all cache refs         
     5.005481789              2,050      L1-dcache-load-misses                                                 
     5.005481789    <not supported>      LLC-load-misses                                                       
     6.005884163            174,435      cycles                                                                
     6.005884163             46,214      instructions                     #    0.26  insn per cycle            
     6.005884163              8,350      cache-references                                                      
     6.005884163              3,323      cache-misses                     #   39.80% of all cache refs         
     6.005884163              2,717      L1-dcache-load-misses                                                 
     6.005884163    <not supported>      LLC-load-misses                                                       
     7.006228947            162,963      cycles                                                                
     7.006228947             50,263      instructions                     #    0.31  insn per cycle            
     7.006228947              7,521      cache-references                                                      
     7.006228947              2,960      cache-misses                     #   39.36% of all cache refs         
