# started on Fri Apr  3 17:25:53 2026

#           time             counts   unit events
   112.246607438              90.83 Joules power/energy-pkg/                                                     
   113.247616530              90.97 Joules power/energy-pkg/                                                     
   114.248924315              91.91 Joules power/energy-pkg/                                                     
   115.250230172              91.92 Joules power/energy-pkg/                                                     
   116.250638359              91.93 Joules power/energy-pkg/                                                     
   117.251609025              89.34 Joules power/energy-pkg/                                                     
   118.251938997              87.11 Joules power/energy-pkg/                                                     
   119.297121025              92.80 Joules power/energy-pkg/                                                     
   120.298062996              89.39 Joules power/energy-pkg/                                                     
   121.299588514              89.18 Joules power/energy-pkg/                                                     
   122.300619629             100.50 Joules power/energy-pkg/                                                     
   123.301658585              95.75 Joules power/energy-pkg/                                                     
   124.302641811              97.50 Joules power/energy-pkg/                                                     
   125.305652764             103.46 Joules power/energy-pkg/                                                     
   126.306654367             101.06 Joules power/energy-pkg/                                                     
   127.308610305             102.53 Joules power/energy-pkg/                                                     
   128.309616580              99.50 Joules power/energy-pkg/                                                     
   129.418107427             114.92 Joules power/energy-pkg/                                                     
   130.418648894             101.47 Joules power/energy-pkg/                                                     
#           time             counts   unit events
   131.419669345             102.07 Joules power/energy-pkg/                                                     
   132.420639494              99.76 Joules power/energy-pkg/                                                     
   133.421626395              97.95 Joules power/energy-pkg/                                                     
   134.422634443             100.89 Joules power/energy-pkg/                                                     
   135.423653784             101.52 Joules power/energy-pkg/                                                     
   136.424654095             101.61 Joules power/energy-pkg/                                                     
   137.425649821             102.47 Joules power/energy-pkg/                                                     
   138.426636790              99.44 Joules power/energy-pkg/                                                     
   139.427648682             101.49 Joules power/energy-pkg/                                                     
   140.428628529             103.43 Joules power/energy-pkg/                                                     
   141.429644057             103.25 Joules power/energy-pkg/                                                     
   142.430647395             101.03 Joules power/energy-pkg/                                                     
   143.433651948              97.07 Joules power/energy-pkg/                                                     
   144.434657594              98.00 Joules power/energy-pkg/                                                     
   145.435645408              97.70 Joules power/energy-pkg/                                                     
   146.436646364             100.01 Joules power/energy-pkg/                                                     
   147.437644543              99.49 Joules power/energy-pkg/                                                     
   148.438651049              97.49 Joules power/energy-pkg/                                                     
   149.439638441              99.12 Joules power/energy-pkg/                                                     
   150.440639264              99.01 Joules power/energy-pkg/                                                     
   151.441632064              99.50 Joules power/energy-pkg/                                                     
   152.442611437             109.36 Joules power/energy-pkg/                                                     
   153.443634761             101.69 Joules power/energy-pkg/                                                     
   154.445638994              95.87 Joules power/energy-pkg/                                                     
   155.446637442              95.99 Joules power/energy-pkg/                                                     
   156.447630364              97.95 Joules power/energy-pkg/                                                     
#           time             counts   unit events
   157.451614010              97.80 Joules power/energy-pkg/                                                     
   158.452638893              97.53 Joules power/energy-pkg/                                                     
   159.453633889              98.15 Joules power/energy-pkg/                                                     
   160.454632076              98.38 Joules power/energy-pkg/                                                     
   161.455610115              98.97 Joules power/energy-pkg/                                                     
   162.456644628             101.32 Joules power/energy-pkg/                                                     
   163.457634534             103.10 Joules power/energy-pkg/                                                     
   164.458607365              98.16 Joules power/energy-pkg/                                                     
   165.459635823              91.42 Joules power/energy-pkg/                                                     
   166.460648977              94.65 Joules power/energy-pkg/                                                     
   167.461652776              95.65 Joules power/energy-pkg/                                                     
   168.462652626              93.40 Joules power/energy-pkg/                                                     
   169.463627104              94.73 Joules power/energy-pkg/                                                     
   170.464628139              95.48 Joules power/energy-pkg/                                                     
   171.465651665              93.71 Joules power/energy-pkg/                                                     
   172.466639261              93.09 Joules power/energy-pkg/                                                     
   173.467636513              93.83 Joules power/energy-pkg/                                                     
   174.468639094              96.20 Joules power/energy-pkg/                                                     
   175.470637375              96.52 Joules power/energy-pkg/                                                     
   176.471618074              96.62 Joules power/energy-pkg/                                                     
   177.472650856              97.03 Joules power/energy-pkg/                                                     
   178.473627759              95.20 Joules power/energy-pkg/                                                     
   179.474620673              96.22 Joules power/energy-pkg/                                                     
   180.475654523              96.81 Joules power/energy-pkg/                                                     
   181.476650975              95.84 Joules power/energy-pkg/                                                     
   182.477624226             105.11 Joules power/energy-pkg/                                                     
#           time             counts   unit events
   183.478657625             102.24 Joules power/energy-pkg/                                                     
   184.479637645              96.84 Joules power/energy-pkg/                                                     
   185.481634485              94.18 Joules power/energy-pkg/                                                     
   186.483633445              92.10 Joules power/energy-pkg/                                                     
   187.484638899              93.30 Joules power/energy-pkg/                                                     
   188.485640373              89.31 Joules power/energy-pkg/                                                     
   189.487652086              89.19 Joules power/energy-pkg/                                                     
   190.488644769              87.42 Joules power/energy-pkg/                                                     
   191.489635047              86.02 Joules power/energy-pkg/                                                     
   192.490930856              85.94 Joules power/energy-pkg/                                                     
   193.492225625              84.10 Joules power/energy-pkg/                                                     
   194.493504956              86.93 Joules power/energy-pkg/                                                     
   195.494645801              85.63 Joules power/energy-pkg/                                                     
   196.495923038              85.50 Joules power/energy-pkg/                                                     
   197.497186746              84.54 Joules power/energy-pkg/                                                     
   198.498472672              82.18 Joules power/energy-pkg/                                                     
   199.499780111              87.57 Joules power/energy-pkg/                                                     
   200.501041864              90.46 Joules power/energy-pkg/                                                     
   201.502353332              91.31 Joules power/energy-pkg/                                                     
   202.503682920              89.85 Joules power/energy-pkg/                                                     
   203.504992667              85.29 Joules power/energy-pkg/                                                     
   204.506295191              89.72 Joules power/energy-pkg/                                                     
   205.507600174              92.21 Joules power/energy-pkg/                                                     
   206.508888379              96.46 Joules power/energy-pkg/                                                     
   207.510218479              94.28 Joules power/energy-pkg/                                                     
   208.511539729              90.01 Joules power/energy-pkg/                                                     
#           time             counts   unit events
   209.512867290              94.39 Joules power/energy-pkg/                                                     
   210.514154513              98.61 Joules power/energy-pkg/                                                     
   211.516809656             100.00 Joules power/energy-pkg/                                                     
   212.517661651             105.13 Joules power/energy-pkg/                                                     
   213.518649103              96.63 Joules power/energy-pkg/                                                     
   214.521649261              95.18 Joules power/energy-pkg/                                                     
   215.525629968              95.10 Joules power/energy-pkg/                                                     
   216.526917907              93.74 Joules power/energy-pkg/                                                     
   217.529301167              93.03 Joules power/energy-pkg/                                                     
   218.530616908              92.65 Joules power/energy-pkg/                                                     
   219.531906250              92.68 Joules power/energy-pkg/                                                     
   220.533191286              91.90 Joules power/energy-pkg/                                                     
   221.534471694              88.53 Joules power/energy-pkg/                                                     
   222.535641787              91.04 Joules power/energy-pkg/                                                     
   223.539612118              96.59 Joules power/energy-pkg/                                                     
   224.540644216              94.79 Joules power/energy-pkg/                                                     
   225.541648742              95.29 Joules power/energy-pkg/                                                     
   226.542646962              94.71 Joules power/energy-pkg/                                                     
   227.543655918              94.05 Joules power/energy-pkg/                                                     
   228.544616175              94.98 Joules power/energy-pkg/                                                     
   229.545652993              98.56 Joules power/energy-pkg/                                                     
   230.546639409              99.00 Joules power/energy-pkg/                                                     
   231.547627593             102.18 Joules power/energy-pkg/                                                     
   232.548621672             102.85 Joules power/energy-pkg/                                                     
   233.549645197             102.06 Joules power/energy-pkg/                                                     
   234.550645914             102.68 Joules power/energy-pkg/                                                     
#           time             counts   unit events
   235.551647454             104.67 Joules power/energy-pkg/                                                     
   236.552646079             104.19 Joules power/energy-pkg/                                                     
   237.553642246             103.93 Joules power/energy-pkg/                                                     
   238.554649029             103.03 Joules power/energy-pkg/                                                     
   239.555644658             104.68 Joules power/energy-pkg/                                                     
   240.556646217             104.08 Joules power/energy-pkg/                                                     
   241.557632827             104.10 Joules power/energy-pkg/                                                     
   242.558926812             112.33 Joules power/energy-pkg/                                                     
   243.560646541             107.52 Joules power/energy-pkg/                                                     
   244.563613990             100.41 Joules power/energy-pkg/                                                     
   245.564627884             103.25 Joules power/energy-pkg/                                                     
   246.565645126              98.86 Joules power/energy-pkg/                                                     
   247.566745269              95.24 Joules power/energy-pkg/                                                     
   248.567648852              97.08 Joules power/energy-pkg/                                                     
