# started on Sat Mar 14 22:06:11 2026

#           time             counts   unit events
     1.001024689             290.29 Joules power/energy-pkg/                                                     
     2.003308123             281.96 Joules power/energy-pkg/                                                     
     3.004884283             281.53 Joules power/energy-pkg/                                                     
     4.006126191             280.16 Joules power/energy-pkg/                                                     
     5.007317525             281.61 Joules power/energy-pkg/                                                     
     6.008556428             281.47 Joules power/energy-pkg/                                                     
     7.009837020             275.77 Joules power/energy-pkg/                                                     
     8.011023414             281.38 Joules power/energy-pkg/                                                     
     9.012124918             275.76 Joules power/energy-pkg/                                                     
    10.013131111             273.00 Joules power/energy-pkg/                                                     
    11.014380564             280.35 Joules power/energy-pkg/                                                     
    12.015618546             282.01 Joules power/energy-pkg/                                                     
    13.017961422             281.14 Joules power/energy-pkg/                                                     
    14.019754892             288.07 Joules power/energy-pkg/                                                     
    15.022007087             282.27 Joules power/energy-pkg/                                                     
    16.023267120             270.04 Joules power/energy-pkg/                                                     
    17.024480755             279.54 Joules power/energy-pkg/                                                     
    18.025767990             280.25 Joules power/energy-pkg/                                                     
    19.028764349             279.86 Joules power/energy-pkg/                                                     
    20.030013071             282.03 Joules power/energy-pkg/                                                     
    21.036852042             280.71 Joules power/energy-pkg/                                                     
    22.040890047             284.79 Joules power/energy-pkg/                                                     
    23.042088764             284.83 Joules power/energy-pkg/                                                     
    24.043316456             283.75 Joules power/energy-pkg/                                                     
    25.044514723             285.56 Joules power/energy-pkg/                                                     
    26.044923329             283.29 Joules power/energy-pkg/                                                     
#           time             counts   unit events
    27.046139519             284.65 Joules power/energy-pkg/                                                     
    28.047375647             281.95 Joules power/energy-pkg/                                                     
    29.048565538             284.25 Joules power/energy-pkg/                                                     
    30.049775536             286.24 Joules power/energy-pkg/                                                     
    31.052892934             273.93 Joules power/energy-pkg/                                                     
    32.055865008             284.71 Joules power/energy-pkg/                                                     
    33.057043226             283.39 Joules power/energy-pkg/                                                     
    34.058223495             284.41 Joules power/energy-pkg/                                                     
    35.059436072             287.44 Joules power/energy-pkg/                                                     
    36.060762334             281.38 Joules power/energy-pkg/                                                     
    37.061970843             280.83 Joules power/energy-pkg/                                                     
    38.063596850             277.00 Joules power/energy-pkg/                                                     
    39.065856152             282.11 Joules power/energy-pkg/                                                     
    40.069877709             282.85 Joules power/energy-pkg/                                                     
    41.073645899             283.79 Joules power/energy-pkg/                                                     
    42.076191501             282.95 Joules power/energy-pkg/                                                     
    43.077615056             282.91 Joules power/energy-pkg/                                                     
    44.078847501             279.84 Joules power/energy-pkg/                                                     
    45.080053154             280.49 Joules power/energy-pkg/                                                     
    46.081287953             281.02 Joules power/energy-pkg/                                                     
    47.085190316             280.54 Joules power/energy-pkg/                                                     
    48.088930663             280.04 Joules power/energy-pkg/                                                     
    49.090921568             280.85 Joules power/energy-pkg/                                                     
    50.093830516             281.12 Joules power/energy-pkg/                                                     
    51.096873727             281.00 Joules power/energy-pkg/                                                     
    52.100767283             280.53 Joules power/energy-pkg/                                                     
#           time             counts   unit events
    53.102017471             280.82 Joules power/energy-pkg/                                                     
    54.103246158             281.15 Joules power/energy-pkg/                                                     
    55.104481528             277.90 Joules power/energy-pkg/                                                     
    56.106984340             270.83 Joules power/energy-pkg/                                                     
    57.108949497             280.87 Joules power/energy-pkg/                                                     
    58.110925985             279.56 Joules power/energy-pkg/                                                     
    59.112147369             269.56 Joules power/energy-pkg/                                                     
    60.113336992             267.66 Joules power/energy-pkg/                                                     
    61.114556582             273.54 Joules power/energy-pkg/                                                     
    62.115807371             275.31 Joules power/energy-pkg/                                                     
    63.117051979             275.58 Joules power/energy-pkg/                                                     
    64.119915160             276.56 Joules power/energy-pkg/                                                     
    65.123918954             274.07 Joules power/energy-pkg/                                                     
    66.124758618             273.52 Joules power/energy-pkg/                                                     
    67.125953802             275.80 Joules power/energy-pkg/                                                     
    68.127167240             255.06 Joules power/energy-pkg/                                                     
    69.128425163             257.06 Joules power/energy-pkg/                                                     
    70.129649993             249.31 Joules power/energy-pkg/                                                     
    71.130905561             256.15 Joules power/energy-pkg/                                                     
    72.132188320             257.84 Joules power/energy-pkg/                                                     
    73.133402219             256.51 Joules power/energy-pkg/                                                     
    74.134606140             253.39 Joules power/energy-pkg/                                                     
    75.135847892             246.12 Joules power/energy-pkg/                                                     
    76.136192321             284.73 Joules power/energy-pkg/                                                     
    77.137373488             283.96 Joules power/energy-pkg/                                                     
    78.138554516             258.40 Joules power/energy-pkg/                                                     
#           time             counts   unit events
    79.139828699             264.96 Joules power/energy-pkg/                                                     
    80.141002132             260.14 Joules power/energy-pkg/                                                     
    81.142191805             276.20 Joules power/energy-pkg/                                                     
    82.143886752             256.01 Joules power/energy-pkg/                                                     
    83.148920119             259.02 Joules power/energy-pkg/                                                     
    84.150103882             260.95 Joules power/energy-pkg/                                                     
    85.151320106             265.23 Joules power/energy-pkg/                                                     
    86.152335140             256.32 Joules power/energy-pkg/                                                     
    87.153555692             257.51 Joules power/energy-pkg/                                                     
    88.154867957             256.94 Joules power/energy-pkg/                                                     
    89.156078610             269.02 Joules power/energy-pkg/                                                     
    90.157333066             267.63 Joules power/energy-pkg/                                                     
    91.158546164             268.87 Joules power/energy-pkg/                                                     
    92.161953172             285.12 Joules power/energy-pkg/                                                     
    93.165905218             273.50 Joules power/energy-pkg/                                                     
    94.167105421             277.42 Joules power/energy-pkg/                                                     
    95.168351802             267.45 Joules power/energy-pkg/                                                     
    96.169555883             250.20 Joules power/energy-pkg/                                                     
    97.170831188             247.46 Joules power/energy-pkg/                                                     
    98.172056045             259.55 Joules power/energy-pkg/                                                     
    99.175524074             268.49 Joules power/energy-pkg/                                                     
   100.177191103             286.55 Joules power/energy-pkg/                                                     
   101.179588191             266.33 Joules power/energy-pkg/                                                     
   102.181885550             262.26 Joules power/energy-pkg/                                                     
   103.184794343             257.36 Joules power/energy-pkg/                                                     
   104.188892771             276.51 Joules power/energy-pkg/                                                     
#           time             counts   unit events
   105.190903089             268.15 Joules power/energy-pkg/                                                     
   106.191746906             251.08 Joules power/energy-pkg/                                                     
   107.193034239             273.76 Joules power/energy-pkg/                                                     
   108.194254556             275.91 Joules power/energy-pkg/                                                     
   109.195506533             276.78 Joules power/energy-pkg/                                                     
   110.196797794             271.82 Joules power/energy-pkg/                                                     
   111.198025595             266.00 Joules power/energy-pkg/                                                     
   112.199289895             267.28 Joules power/energy-pkg/                                                     
   113.200498410             265.97 Joules power/energy-pkg/                                                     
   114.201805010             271.51 Joules power/energy-pkg/                                                     
   115.203909586             257.92 Joules power/energy-pkg/                                                     
   116.204580226             246.35 Joules power/energy-pkg/                                                     
   117.205841580             284.12 Joules power/energy-pkg/                                                     
   118.207086103             273.72 Joules power/energy-pkg/                                                     
   119.208289338             275.59 Joules power/energy-pkg/                                                     
   120.209491561             276.65 Joules power/energy-pkg/                                                     
   121.210753677             275.49 Joules power/energy-pkg/                                                     
   122.211971439             278.07 Joules power/energy-pkg/                                                     
   123.215882613             286.60 Joules power/energy-pkg/                                                     
   124.217175567             289.84 Joules power/energy-pkg/                                                     
   125.218420852             282.68 Joules power/energy-pkg/                                                     
   126.219678068             282.10 Joules power/energy-pkg/                                                     
   127.220902864             282.88 Joules power/energy-pkg/                                                     
   128.222912380             276.90 Joules power/energy-pkg/                                                     
   129.224116326             273.42 Joules power/energy-pkg/                                                     
   130.225908132             277.05 Joules power/energy-pkg/                                                     
#           time             counts   unit events
   131.227125754             277.53 Joules power/energy-pkg/                                                     
   132.227795031             273.28 Joules power/energy-pkg/                                                     
   133.228999889             281.51 Joules power/energy-pkg/                                                     
   134.232893190             291.97 Joules power/energy-pkg/                                                     
   135.234118166             285.95 Joules power/energy-pkg/                                                     
   136.235334305             278.23 Joules power/energy-pkg/                                                     
