# started on Fri Apr  3 23:31:51 2026

#           time             counts unit events
     8.009945327    <not supported>      L1-icache-loads                                                       
     8.009945327      <not counted>      L1-icache-load-misses                                                   (0.00%)
     8.009945327      <not counted>      LLC-loads                                                               (0.00%)
     8.009945327      <not counted>      LLC-load-misses                                                         (0.00%)
     8.009945327      <not counted>      dTLB-load-misses                                                        (0.00%)
     8.009945327      <not counted>      iTLB-load-misses                                                        (0.00%)
     8.009945327                  0      minor-faults                                                          
     8.009945327                  0      major-faults                                                          
     9.011240590      <not counted>      cycles                                                                  (0.00%)
     9.011240590      <not counted>      instructions                                                            (0.00%)
     9.011240590      <not counted>      branches                                                                (0.00%)
     9.011240590      <not counted>      branch-misses                                                           (0.00%)
     9.011240590              6,896      L1-dcache-loads                                                       
     9.011240590                992      L1-dcache-load-misses            #   14.39% of all L1-dcache accesses 
     9.011240590    <not supported>      L1-icache-loads                                                       
     9.011240590      <not counted>      L1-icache-load-misses                                                   (0.00%)
     9.011240590      <not counted>      LLC-loads                                                               (0.00%)
     9.011240590      <not counted>      LLC-load-misses                                                         (0.00%)
     9.011240590      <not counted>      dTLB-load-misses                                                        (0.00%)
     9.011240590      <not counted>      iTLB-load-misses                                                        (0.00%)
     9.011240590                  0      minor-faults                                                          
     9.011240590                  0      major-faults                                                          
    10.012387902      <not counted>      cycles                                                                  (0.00%)
    10.012387902      <not counted>      instructions                                                            (0.00%)
    10.012387902      <not counted>      branches                                                                (0.00%)
    10.012387902      <not counted>      branch-misses                                                           (0.00%)
    10.012387902             11,142      L1-dcache-loads                                                       
    10.012387902              1,426      L1-dcache-load-misses            #   12.80% of all L1-dcache accesses 
    10.012387902    <not supported>      L1-icache-loads                                                       
    10.012387902      <not counted>      L1-icache-load-misses                                                   (0.00%)
    10.012387902      <not counted>      LLC-loads                                                               (0.00%)
    10.012387902      <not counted>      LLC-load-misses                                                         (0.00%)
    10.012387902      <not counted>      dTLB-load-misses                                                        (0.00%)
    10.012387902      <not counted>      iTLB-load-misses                                                        (0.00%)
    10.012387902                  0      minor-faults                                                          
    10.012387902                  0      major-faults                                                          
    11.013708596      <not counted>      cycles                                                                  (0.00%)
    11.013708596      <not counted>      instructions                                                            (0.00%)
    11.013708596      <not counted>      branches                                                                (0.00%)
    11.013708596      <not counted>      branch-misses                                                           (0.00%)
    11.013708596              7,311      L1-dcache-loads                                                       
    11.013708596              1,030      L1-dcache-load-misses            #   14.09% of all L1-dcache accesses 
    11.013708596    <not supported>      L1-icache-loads                                                       
    11.013708596      <not counted>      L1-icache-load-misses                                                   (0.00%)
    11.013708596      <not counted>      LLC-loads                                                               (0.00%)
    11.013708596      <not counted>      LLC-load-misses                                                         (0.00%)
    11.013708596      <not counted>      dTLB-load-misses                                                        (0.00%)
    11.013708596      <not counted>      iTLB-load-misses                                                        (0.00%)
    11.013708596                  0      minor-faults                                                          
    11.013708596                  0      major-faults                                                          
    12.014854244      <not counted>      cycles                                                                  (0.00%)
    12.014854244      <not counted>      instructions                                                            (0.00%)
    12.014854244      <not counted>      branches                                                                (0.00%)
    12.014854244      <not counted>      branch-misses                                                           (0.00%)
    12.014854244              6,895      L1-dcache-loads                                                       
    12.014854244                988      L1-dcache-load-misses            #   14.33% of all L1-dcache accesses 
    12.014854244    <not supported>      L1-icache-loads                                                       
    12.014854244      <not counted>      L1-icache-load-misses                                                   (0.00%)
    12.014854244      <not counted>      LLC-loads                                                               (0.00%)
    12.014854244      <not counted>      LLC-load-misses                                                         (0.00%)
    12.014854244      <not counted>      dTLB-load-misses                                                        (0.00%)
    12.014854244      <not counted>      iTLB-load-misses                                                        (0.00%)
    12.014854244                  0      minor-faults                                                          
    12.014854244                  0      major-faults                                                          
    13.015998225      <not counted>      cycles                                                                  (0.00%)
    13.015998225      <not counted>      instructions                                                            (0.00%)
    13.015998225      <not counted>      branches                                                                (0.00%)
    13.015998225      <not counted>      branch-misses                                                           (0.00%)
    13.015998225              9,806      L1-dcache-loads                                                       
    13.015998225              1,416      L1-dcache-load-misses            #   14.44% of all L1-dcache accesses 
    13.015998225    <not supported>      L1-icache-loads                                                       
    13.015998225      <not counted>      L1-icache-load-misses                                                   (0.00%)
    13.015998225      <not counted>      LLC-loads                                                               (0.00%)
    13.015998225      <not counted>      LLC-load-misses                                                         (0.00%)
    13.015998225      <not counted>      dTLB-load-misses                                                        (0.00%)
    13.015998225      <not counted>      iTLB-load-misses                                                        (0.00%)
    13.015998225                  0      minor-faults                                                          
    13.015998225                  0      major-faults                                                          
    14.017289161      <not counted>      cycles                                                                  (0.00%)
    14.017289161      <not counted>      instructions                                                            (0.00%)
    14.017289161      <not counted>      branches                                                                (0.00%)
    14.017289161      <not counted>      branch-misses                                                           (0.00%)
    14.017289161              6,895      L1-dcache-loads                                                       
    14.017289161                981      L1-dcache-load-misses            #   14.23% of all L1-dcache accesses 
    14.017289161    <not supported>      L1-icache-loads                                                       
    14.017289161      <not counted>      L1-icache-load-misses                                                   (0.00%)
    14.017289161      <not counted>      LLC-loads                                                               (0.00%)
    14.017289161      <not counted>      LLC-load-misses                                                         (0.00%)
    14.017289161      <not counted>      dTLB-load-misses                                                        (0.00%)
    14.017289161      <not counted>      iTLB-load-misses                                                        (0.00%)
    14.017289161                  0      minor-faults                                                          
    14.017289161                  0      major-faults                                                          
    15.018437781      <not counted>      cycles                                                                  (0.00%)
    15.018437781      <not counted>      instructions                                                            (0.00%)
    15.018437781      <not counted>      branches                                                                (0.00%)
    15.018437781      <not counted>      branch-misses                                                           (0.00%)
    15.018437781              6,942      L1-dcache-loads                                                       
    15.018437781              1,025      L1-dcache-load-misses            #   14.77% of all L1-dcache accesses 
    15.018437781    <not supported>      L1-icache-loads                                                       
    15.018437781      <not counted>      L1-icache-load-misses                                                   (0.00%)
    15.018437781      <not counted>      LLC-loads                                                               (0.00%)
    15.018437781      <not counted>      LLC-load-misses                                                         (0.00%)
    15.018437781      <not counted>      dTLB-load-misses                                                        (0.00%)
    15.018437781      <not counted>      iTLB-load-misses                                                        (0.00%)
    15.018437781                  0      minor-faults                                                          
    15.018437781                  0      major-faults                                                          
    16.019775909      <not counted>      cycles                                                                  (0.00%)
    16.019775909      <not counted>      instructions                                                            (0.00%)
    16.019775909      <not counted>      branches                                                                (0.00%)
    16.019775909      <not counted>      branch-misses                                                           (0.00%)
    16.019775909              6,932      L1-dcache-loads                                                       
    16.019775909              1,023      L1-dcache-load-misses            #   14.76% of all L1-dcache accesses 
    16.019775909    <not supported>      L1-icache-loads                                                       
    16.019775909      <not counted>      L1-icache-load-misses                                                   (0.00%)
    16.019775909      <not counted>      LLC-loads                                                               (0.00%)
    16.019775909      <not counted>      LLC-load-misses                                                         (0.00%)
    16.019775909      <not counted>      dTLB-load-misses                                                        (0.00%)
    16.019775909      <not counted>      iTLB-load-misses                                                        (0.00%)
    16.019775909                  0      minor-faults                                                          
    16.019775909                  0      major-faults                                                          
    17.020931000      <not counted>      cycles                                                                  (0.00%)
    17.020931000      <not counted>      instructions                                                            (0.00%)
    17.020931000      <not counted>      branches                                                                (0.00%)
    17.020931000      <not counted>      branch-misses                                                           (0.00%)
    17.020931000              6,892      L1-dcache-loads                                                       
    17.020931000              1,000      L1-dcache-load-misses            #   14.51% of all L1-dcache accesses 
    17.020931000    <not supported>      L1-icache-loads                                                       
    17.020931000      <not counted>      L1-icache-load-misses                                                   (0.00%)
    17.020931000      <not counted>      LLC-loads                                                               (0.00%)
    17.020931000      <not counted>      LLC-load-misses                                                         (0.00%)
    17.020931000      <not counted>      dTLB-load-misses                                                        (0.00%)
    17.020931000      <not counted>      iTLB-load-misses                                                        (0.00%)
    17.020931000                  0      minor-faults                                                          
    17.020931000                  0      major-faults                                                          
    18.022101185      <not counted>      cycles                                                                  (0.00%)
    18.022101185      <not counted>      instructions                                                            (0.00%)
    18.022101185      <not counted>      branches                                                                (0.00%)
    18.022101185      <not counted>      branch-misses                                                           (0.00%)
    18.022101185              6,939      L1-dcache-loads                                                       
    18.022101185              1,017      L1-dcache-load-misses            #   14.66% of all L1-dcache accesses 
    18.022101185    <not supported>      L1-icache-loads                                                       
    18.022101185      <not counted>      L1-icache-load-misses                                                   (0.00%)
    18.022101185      <not counted>      LLC-loads                                                               (0.00%)
    18.022101185      <not counted>      LLC-load-misses                                                         (0.00%)
    18.022101185      <not counted>      dTLB-load-misses                                                        (0.00%)
    18.022101185      <not counted>      iTLB-load-misses                                                        (0.00%)
    18.022101185                  0      minor-faults                                                          
    18.022101185                  0      major-faults                                                          
    19.023418074      <not counted>      cycles                                                                  (0.00%)
    19.023418074      <not counted>      instructions                                                            (0.00%)
    19.023418074      <not counted>      branches                                                                (0.00%)
    19.023418074      <not counted>      branch-misses                                                           (0.00%)
    19.023418074              6,942      L1-dcache-loads                                                       
    19.023418074              1,007      L1-dcache-load-misses            #   14.51% of all L1-dcache accesses 
    19.023418074    <not supported>      L1-icache-loads                                                       
    19.023418074      <not counted>      L1-icache-load-misses                                                   (0.00%)
    19.023418074      <not counted>      LLC-loads                                                               (0.00%)
