# started on Sat Mar  7 13:58:54 2026

#           time             counts unit events
     1.001522843      4,365,707,338      cycles                                                                
     1.001522843      6,957,651,022      instructions                     #    1.59  insn per cycle            
     1.001522843        306,014,802      cache-references                                                      
     1.001522843         30,536,118      cache-misses                     #    9.98% of all cache refs         
     1.001522843        140,678,873      L1-dcache-load-misses                                                 
     1.001522843    <not supported>      LLC-load-misses                                                       
     2.002625948        276,046,554      cycles                                                                
     2.002625948        450,102,993      instructions                     #    1.63  insn per cycle            
     2.002625948         18,060,925      cache-references                                                      
     2.002625948          1,220,106      cache-misses                     #    6.76% of all cache refs         
     2.002625948         10,157,101      L1-dcache-load-misses                                                 
     2.002625948    <not supported>      LLC-load-misses                                                       
     3.003692414            242,940      cycles                                                                
     3.003692414             73,474      instructions                     #    0.30  insn per cycle            
     3.003692414             10,436      cache-references                                                      
     3.003692414              3,696      cache-misses                     #   35.42% of all cache refs         
     3.003692414              3,283      L1-dcache-load-misses                                                 
     3.003692414    <not supported>      LLC-load-misses                                                       
     4.004499411            181,268      cycles                                                                
     4.004499411             47,838      instructions                     #    0.26  insn per cycle            
     4.004499411              6,731      cache-references                                                      
     4.004499411              2,950      cache-misses                     #   43.83% of all cache refs         
     4.004499411              1,893      L1-dcache-load-misses                                                 
     4.004499411    <not supported>      LLC-load-misses                                                       
     5.005466037            182,899      cycles                                                                
     5.005466037             57,486      instructions                     #    0.31  insn per cycle            
     5.005466037              7,477      cache-references                                                      
     5.005466037              3,078      cache-misses                     #   41.17% of all cache refs         
     5.005466037              2,266      L1-dcache-load-misses                                                 
     5.005466037    <not supported>      LLC-load-misses                                                       
     6.006498353            159,045      cycles                                                                
     6.006498353             79,545      instructions                     #    0.50  insn per cycle            
     6.006498353             10,596      cache-references                                                      
     6.006498353              1,977      cache-misses                     #   18.66% of all cache refs         
     6.006498353              3,669      L1-dcache-load-misses                                                 
     6.006498353    <not supported>      LLC-load-misses                                                       
     7.007774757            129,278      cycles                                                                
     7.007774757             48,475      instructions                     #    0.37  insn per cycle            
     7.007774757              6,051      cache-references                                                      
     7.007774757              1,624      cache-misses                     #   26.84% of all cache refs         
     7.007774757              1,721      L1-dcache-load-misses                                                 
     7.007774757    <not supported>      LLC-load-misses                                                       
     8.008496365            146,322      cycles                                                                
     8.008496365             68,820      instructions                     #    0.47  insn per cycle            
     8.008496365              9,224      cache-references                                                      
     8.008496365              1,717      cache-misses                     #   18.61% of all cache refs         
     8.008496365              2,788      L1-dcache-load-misses                                                 
     8.008496365    <not supported>      LLC-load-misses                                                       
     9.009561190            133,143      cycles                                                                
     9.009561190             24,796      instructions                     #    0.19  insn per cycle            
     9.009561190              4,392      cache-references                                                      
     9.009561190              2,426      cache-misses                     #   55.24% of all cache refs         
     9.009561190                924      L1-dcache-load-misses                                                 
     9.009561190    <not supported>      LLC-load-misses                                                       
    10.010627136            175,394      cycles                                                                
    10.010627136             45,165      instructions                     #    0.26  insn per cycle            
    10.010627136              7,281      cache-references                                                      
    10.010627136              2,980      cache-misses                     #   40.93% of all cache refs         
    10.010627136              2,071      L1-dcache-load-misses                                                 
    10.010627136    <not supported>      LLC-load-misses                                                       
    11.011283674            177,395      cycles                                                                
    11.011283674             56,613      instructions                     #    0.32  insn per cycle            
    11.011283674              8,605      cache-references                                                      
    11.011283674              3,324      cache-misses                     #   38.63% of all cache refs         
    11.011283674              2,702      L1-dcache-load-misses                                                 
    11.011283674    <not supported>      LLC-load-misses                                                       
    12.011497664            156,910      cycles                                                                
    12.011497664             53,587      instructions                     #    0.34  insn per cycle            
    12.011497664              7,919      cache-references                                                      
    12.011497664              2,643      cache-misses                     #   33.38% of all cache refs         
    12.011497664              2,078      L1-dcache-load-misses                                                 
    12.011497664    <not supported>      LLC-load-misses                                                       
    13.012570790            101,792      cycles                                                                
    13.012570790             24,774      instructions                     #    0.24  insn per cycle            
    13.012570790              3,483      cache-references                                                      
    13.012570790              1,025      cache-misses                     #   29.43% of all cache refs         
    13.012570790                846      L1-dcache-load-misses                                                 
    13.012570790    <not supported>      LLC-load-misses                                                       
    14.013928604            176,260      cycles                                                                
    14.013928604             66,361      instructions                     #    0.38  insn per cycle            
    14.013928604              8,242      cache-references                                                      
    14.013928604              1,985      cache-misses                     #   24.08% of all cache refs         
    14.013928604              2,424      L1-dcache-load-misses                                                 
    14.013928604    <not supported>      LLC-load-misses                                                       
    15.015001639            137,923      cycles                                                                
    15.015001639             57,277      instructions                     #    0.42  insn per cycle            
    15.015001639              6,686      cache-references                                                      
    15.015001639              1,473      cache-misses                     #   22.03% of all cache refs         
    15.015001639              2,187      L1-dcache-load-misses                                                 
    15.015001639    <not supported>      LLC-load-misses                                                       
    16.016082415            156,990      cycles                                                                
    16.016082415             69,489      instructions                     #    0.44  insn per cycle            
    16.016082415              9,765      cache-references                                                      
    16.016082415              2,247      cache-misses                     #   23.01% of all cache refs         
    16.016082415              2,975      L1-dcache-load-misses                                                 
    16.016082415    <not supported>      LLC-load-misses                                                       
    17.017133980            144,969      cycles                                                                
    17.017133980             46,004      instructions                     #    0.32  insn per cycle            
    17.017133980              6,796      cache-references                                                      
    17.017133980              2,100      cache-misses                     #   30.90% of all cache refs         
    17.017133980              1,740      L1-dcache-load-misses                                                 
    17.017133980    <not supported>      LLC-load-misses                                                       
    18.018180226            179,340      cycles                                                                
    18.018180226             59,391      instructions                     #    0.33  insn per cycle            
    18.018180226              9,426      cache-references                                                      
    18.018180226              2,380      cache-misses                     #   25.25% of all cache refs         
    18.018180226              3,362      L1-dcache-load-misses                                                 
    18.018180226    <not supported>      LLC-load-misses                                                       
    19.019244391            158,386      cycles                                                                
