# started on Sat Mar  7 15:24:45 2026

#           time             counts unit events
     1.001019086      3,753,868,545      cycles                                                                
     1.001019086      7,439,071,798      instructions                     #    1.98  insn per cycle            
     1.001019086        278,650,785      cache-references                                                      
     1.001019086         30,064,389      cache-misses                     #   10.79% of all cache refs         
     1.001019086        120,269,254      L1-dcache-load-misses                                                 
     1.001019086    <not supported>      LLC-load-misses                                                       
     2.002274900            200,505      cycles                                                                
     2.002274900             96,569      instructions                     #    0.48  insn per cycle            
     2.002274900             12,559      cache-references                                                      
     2.002274900              3,557      cache-misses                     #   28.32% of all cache refs         
     2.002274900              4,636      L1-dcache-load-misses                                                 
     2.002274900    <not supported>      LLC-load-misses                                                       
     3.003350176            178,593      cycles                                                                
     3.003350176             57,560      instructions                     #    0.32  insn per cycle            
     3.003350176              9,193      cache-references                                                      
     3.003350176              3,105      cache-misses                     #   33.78% of all cache refs         
     3.003350176              3,188      L1-dcache-load-misses                                                 
     3.003350176    <not supported>      LLC-load-misses                                                       
     4.004428602            170,622      cycles                                                                
     4.004428602             58,067      instructions                     #    0.34  insn per cycle            
     4.004428602             10,051      cache-references                                                      
     4.004428602              3,410      cache-misses                     #   33.93% of all cache refs         
     4.004428602              3,339      L1-dcache-load-misses                                                 
     4.004428602    <not supported>      LLC-load-misses                                                       
     5.005057501            237,805      cycles                                                                
     5.005057501            180,785      instructions                     #    0.76  insn per cycle            
     5.005057501             21,545      cache-references                                                      
     5.005057501              2,827      cache-misses                     #   13.12% of all cache refs         
     5.005057501              8,478      L1-dcache-load-misses                                                 
     5.005057501    <not supported>      LLC-load-misses                                                       
     6.006114507            126,584      cycles                                                                
     6.006114507             49,725      instructions                     #    0.39  insn per cycle            
     6.006114507              6,932      cache-references                                                      
     6.006114507              1,961      cache-misses                     #   28.29% of all cache refs         
     6.006114507              1,826      L1-dcache-load-misses                                                 
     6.006114507    <not supported>      LLC-load-misses                                                       
     7.006578957            253,841      cycles                                                                
     7.006578957            179,374      instructions                     #    0.71  insn per cycle            
     7.006578957             21,789      cache-references                                                      
     7.006578957              3,336      cache-misses                     #   15.31% of all cache refs         
     7.006578957              8,443      L1-dcache-load-misses                                                 
     7.006578957    <not supported>      LLC-load-misses                                                       
     8.007637743            219,927      cycles                                                                
     8.007637743            190,677      instructions                     #    0.87  insn per cycle            
     8.007637743             24,404      cache-references                                                      
     8.007637743              2,799      cache-misses                     #   11.47% of all cache refs         
     8.007637743              9,257      L1-dcache-load-misses                                                 
     8.007637743    <not supported>      LLC-load-misses                                                       
     9.008011964            122,017      cycles                                                                
     9.008011964             50,855      instructions                     #    0.42  insn per cycle            
     9.008011964              7,341      cache-references                                                      
     9.008011964              2,126      cache-misses                     #   28.96% of all cache refs         
     9.008011964              1,805      L1-dcache-load-misses                                                 
     9.008011964    <not supported>      LLC-load-misses                                                       
    10.008409994            169,166      cycles                                                                
    10.008409994             95,680      instructions                     #    0.57  insn per cycle            
    10.008409994             12,796      cache-references                                                      
    10.008409994              2,397      cache-misses                     #   18.73% of all cache refs         
    10.008409994              4,207      L1-dcache-load-misses                                                 
    10.008409994    <not supported>      LLC-load-misses                                                       
    11.009469010            179,801      cycles                                                                
    11.009469010            102,174      instructions                     #    0.57  insn per cycle            
    11.009469010             13,076      cache-references                                                      
    11.009469010              2,438      cache-misses                     #   18.64% of all cache refs         
    11.009469010              4,559      L1-dcache-load-misses                                                 
    11.009469010    <not supported>      LLC-load-misses                                                       
    12.010536376            156,883      cycles                                                                
    12.010536376             64,546      instructions                     #    0.41  insn per cycle            
    12.010536376              8,711      cache-references                                                      
    12.010536376              2,244      cache-misses                     #   25.76% of all cache refs         
    12.010536376              2,672      L1-dcache-load-misses                                                 
    12.010536376    <not supported>      LLC-load-misses                                                       
    13.011608232            138,414      cycles                                                                
    13.011608232             51,959      instructions                     #    0.38  insn per cycle            
    13.011608232              6,943      cache-references                                                      
    13.011608232              2,130      cache-misses                     #   30.68% of all cache refs         
    13.011608232              2,055      L1-dcache-load-misses                                                 
    13.011608232    <not supported>      LLC-load-misses                                                       
    14.012580168            132,230      cycles                                                                
    14.012580168             55,462      instructions                     #    0.42  insn per cycle            
    14.012580168              7,139      cache-references                                                      
    14.012580168              2,072      cache-misses                     #   29.02% of all cache refs         
    14.012580168              2,022      L1-dcache-load-misses                                                 
    14.012580168    <not supported>      LLC-load-misses                                                       
    15.013657014            134,576      cycles                                                                
    15.013657014             58,885      instructions                     #    0.44  insn per cycle            
    15.013657014              7,862      cache-references                                                      
    15.013657014              2,028      cache-misses                     #   25.79% of all cache refs         
    15.013657014              2,319      L1-dcache-load-misses                                                 
    15.013657014    <not supported>      LLC-load-misses                                                       
    16.014576781            193,539      cycles                                                                
    16.014576781             95,864      instructions                     #    0.50  insn per cycle            
    16.014576781             13,798      cache-references                                                      
    16.014576781              3,353      cache-misses                     #   24.30% of all cache refs         
    16.014576781              5,096      L1-dcache-load-misses                                                 
    16.014576781    <not supported>      LLC-load-misses                                                       
    17.015641337            168,012      cycles                                                                
    17.015641337             46,920      instructions                     #    0.28  insn per cycle            
    17.015641337              7,661      cache-references                                                      
    17.015641337              3,021      cache-misses                     #   39.43% of all cache refs         
    17.015641337              2,156      L1-dcache-load-misses                                                 
    17.015641337    <not supported>      LLC-load-misses                                                       
    18.016697953            153,906      cycles                                                                
    18.016697953            109,607      instructions                     #    0.71  insn per cycle            
    18.016697953             14,034      cache-references                                                      
    18.016697953              1,939      cache-misses                     #   13.82% of all cache refs         
    18.016697953              5,041      L1-dcache-load-misses                                                 
    18.016697953    <not supported>      LLC-load-misses                                                       
    19.017759709            165,911      cycles                                                                
