# started on Fri Apr  3 17:54:39 2026

#           time             counts   unit events
     1.000784313              95.25 Joules power/energy-pkg/                                                     
     2.003116474              99.57 Joules power/energy-pkg/                                                     
     3.004503338              95.95 Joules power/energy-pkg/                                                     
     4.007499201              94.13 Joules power/energy-pkg/                                                     
     5.009475265              95.46 Joules power/energy-pkg/                                                     
     6.013514257              95.94 Joules power/energy-pkg/                                                     
     7.017504936              97.81 Joules power/energy-pkg/                                                     
     8.021515821              98.32 Joules power/energy-pkg/                                                     
     9.024505172              97.12 Joules power/energy-pkg/                                                     
    10.026507377              92.13 Joules power/energy-pkg/                                                     
    11.028483487              91.41 Joules power/energy-pkg/                                                     
    12.032501803              98.20 Joules power/energy-pkg/                                                     
    13.035575280              90.48 Joules power/energy-pkg/                                                     
    14.036894575              87.79 Joules power/energy-pkg/                                                     
    15.038205037              85.61 Joules power/energy-pkg/                                                     
    16.039520967              88.69 Joules power/energy-pkg/                                                     
    17.040801417              96.03 Joules power/energy-pkg/                                                     
    18.042122494              95.24 Joules power/energy-pkg/                                                     
    19.043461826              99.90 Joules power/energy-pkg/                                                     
    20.044469822              97.49 Joules power/energy-pkg/                                                     
    21.045768698              93.71 Joules power/energy-pkg/                                                     
    22.046503431              98.56 Joules power/energy-pkg/                                                     
    23.049593849              96.62 Joules power/energy-pkg/                                                     
    24.050910498             105.02 Joules power/energy-pkg/                                                     
    25.052235774              94.14 Joules power/energy-pkg/                                                     
    26.053586691              92.76 Joules power/energy-pkg/                                                     
#           time             counts   unit events
    27.054472797              93.56 Joules power/energy-pkg/                                                     
    28.055452152              94.06 Joules power/energy-pkg/                                                     
    29.056751286              95.73 Joules power/energy-pkg/                                                     
    30.058071461              95.84 Joules power/energy-pkg/                                                     
    31.059363014              96.48 Joules power/energy-pkg/                                                     
    32.060650899              96.20 Joules power/energy-pkg/                                                     
    33.061508074              95.57 Joules power/energy-pkg/                                                     
    34.063494642              97.54 Joules power/energy-pkg/                                                     
    35.066481211              99.95 Joules power/energy-pkg/                                                     
    36.067502751              99.92 Joules power/energy-pkg/                                                     
    37.069506782              99.85 Joules power/energy-pkg/                                                     
    38.071587683              98.01 Joules power/energy-pkg/                                                     
    39.072906309              97.56 Joules power/energy-pkg/                                                     
    40.074229935              97.63 Joules power/energy-pkg/                                                     
    41.075612352              97.39 Joules power/energy-pkg/                                                     
    42.076928336              99.34 Joules power/energy-pkg/                                                     
    43.078248334             101.81 Joules power/energy-pkg/                                                     
    44.079567483              99.21 Joules power/energy-pkg/                                                     
    45.080501526              99.53 Joules power/energy-pkg/                                                     
    46.083498505             100.32 Joules power/energy-pkg/                                                     
    47.087495716             100.85 Joules power/energy-pkg/                                                     
    48.090497595              99.04 Joules power/energy-pkg/                                                     
    49.093500414              98.63 Joules power/energy-pkg/                                                     
    50.094775275              94.73 Joules power/energy-pkg/                                                     
    51.096115091              96.44 Joules power/energy-pkg/                                                     
    52.097397097             102.51 Joules power/energy-pkg/                                                     
#           time             counts   unit events
    53.098739503              93.13 Joules power/energy-pkg/                                                     
    54.101745802              98.68 Joules power/energy-pkg/                                                     
    55.103003645              93.18 Joules power/energy-pkg/                                                     
    56.104302608              94.23 Joules power/energy-pkg/                                                     
    57.105622354              93.64 Joules power/energy-pkg/                                                     
    58.106392359              90.01 Joules power/energy-pkg/                                                     
    59.107718506              90.67 Joules power/energy-pkg/                                                     
    60.109011863              92.00 Joules power/energy-pkg/                                                     
    61.110302380              93.53 Joules power/energy-pkg/                                                     
    62.111608734              93.72 Joules power/energy-pkg/                                                     
    63.112909647              89.87 Joules power/energy-pkg/                                                     
    64.114186483              94.41 Joules power/energy-pkg/                                                     
    65.115122751              93.51 Joules power/energy-pkg/                                                     
    66.116441657              92.83 Joules power/energy-pkg/                                                     
    67.118675569              93.20 Joules power/energy-pkg/                                                     
    68.119945189              89.54 Joules power/energy-pkg/                                                     
    69.121208184              93.86 Joules power/energy-pkg/                                                     
    70.122502919              96.15 Joules power/energy-pkg/                                                     
    71.126557314              96.43 Joules power/energy-pkg/                                                     
    72.127861699              96.31 Joules power/energy-pkg/                                                     
    73.130686146              91.97 Joules power/energy-pkg/                                                     
    74.131475149              98.58 Joules power/energy-pkg/                                                     
    75.133497440              94.16 Joules power/energy-pkg/                                                     
    76.136502039              94.18 Joules power/energy-pkg/                                                     
    77.140499127              92.20 Joules power/energy-pkg/                                                     
    78.143499860              87.50 Joules power/energy-pkg/                                                     
#           time             counts   unit events
    79.145501862              92.21 Joules power/energy-pkg/                                                     
    80.146773890              90.73 Joules power/energy-pkg/                                                     
    81.148068038              92.18 Joules power/energy-pkg/                                                     
    82.149352164              94.97 Joules power/energy-pkg/                                                     
    83.150638366              90.91 Joules power/energy-pkg/                                                     
    84.152687894              99.43 Joules power/energy-pkg/                                                     
    85.154013066              95.15 Joules power/energy-pkg/                                                     
    86.155186659              94.47 Joules power/energy-pkg/                                                     
    87.156502979              92.96 Joules power/energy-pkg/                                                     
    88.157792558              89.68 Joules power/energy-pkg/                                                     
    89.159094829              93.54 Joules power/energy-pkg/                                                     
    90.160379540              94.59 Joules power/energy-pkg/                                                     
    91.162031626              92.00 Joules power/energy-pkg/                                                     
    92.163305741              90.94 Joules power/energy-pkg/                                                     
    93.164614810              88.98 Joules power/energy-pkg/                                                     
    94.165864055              92.47 Joules power/energy-pkg/                                                     
    95.167116633              91.52 Joules power/energy-pkg/                                                     
    96.167670028              91.83 Joules power/energy-pkg/                                                     
    97.168936733              88.88 Joules power/energy-pkg/                                                     
    98.170222013              93.17 Joules power/energy-pkg/                                                     
    99.171587103              98.47 Joules power/energy-pkg/                                                     
   100.172458901              96.13 Joules power/energy-pkg/                                                     
   101.173462622              97.20 Joules power/energy-pkg/                                                     
   102.174511332              98.36 Joules power/energy-pkg/                                                     
   103.178511363              94.40 Joules power/energy-pkg/                                                     
   104.180510119              95.51 Joules power/energy-pkg/                                                     
#           time             counts   unit events
   105.182506277              96.83 Joules power/energy-pkg/                                                     
   106.186512548              95.81 Joules power/energy-pkg/                                                     
   107.188712070              97.55 Joules power/energy-pkg/                                                     
   108.190024638              94.21 Joules power/energy-pkg/                                                     
   109.191323337              95.79 Joules power/energy-pkg/                                                     
   110.192628392              95.24 Joules power/energy-pkg/                                                     
   111.193897623              94.11 Joules power/energy-pkg/                                                     
   112.195144030              94.57 Joules power/energy-pkg/                                                     
   113.195500497              91.31 Joules power/energy-pkg/                                                     
   114.196796891             100.88 Joules power/energy-pkg/                                                     
   115.197509181              95.17 Joules power/energy-pkg/                                                     
   116.199484185              95.77 Joules power/energy-pkg/                                                     
   117.200504697              94.91 Joules power/energy-pkg/                                                     
   118.202509226              95.34 Joules power/energy-pkg/                                                     
   119.205473733              96.16 Joules power/energy-pkg/                                                     
   120.207494231              95.54 Joules power/energy-pkg/                                                     
   121.209492808              97.79 Joules power/energy-pkg/                                                     
   122.211509516              98.17 Joules power/energy-pkg/                                                     
   123.215492350             100.36 Joules power/energy-pkg/                                                     
   124.219471746              99.68 Joules power/energy-pkg/                                                     
   125.222514228             100.46 Joules power/energy-pkg/                                                     
   126.225611280             105.23 Joules power/energy-pkg/                                                     
   127.226934522             105.56 Joules power/energy-pkg/                                                     
   128.228274784             102.83 Joules power/energy-pkg/                                                     
   129.229492006             103.51 Joules power/energy-pkg/                                                     
   130.233476119              96.46 Joules power/energy-pkg/                                                     
#           time             counts   unit events
   131.235501767              99.03 Joules power/energy-pkg/                                                     
   132.238498231              95.40 Joules power/energy-pkg/                                                     
   133.239501772              93.51 Joules power/energy-pkg/                                                     
   134.243573827              94.32 Joules power/energy-pkg/                                                     
   135.244880703              92.02 Joules power/energy-pkg/                                                     
   136.246170998              93.04 Joules power/energy-pkg/                                                     
   137.247491635              93.81 Joules power/energy-pkg/                                                     
   138.248799086              94.47 Joules power/energy-pkg/                                                     
   139.250138767              95.01 Joules power/energy-pkg/                                                     
   140.251441266              92.02 Joules power/energy-pkg/                                                     
   141.252750160              95.50 Joules power/energy-pkg/                                                     
   142.254149802              98.89 Joules power/energy-pkg/                                                     
   143.255458700              99.35 Joules power/energy-pkg/                                                     
   144.255891223             103.10 Joules power/energy-pkg/                                                     
   145.257220310              94.19 Joules power/energy-pkg/                                                     
   146.258551565              95.93 Joules power/energy-pkg/                                                     
   147.259500713              95.45 Joules power/energy-pkg/                                                     
   148.261606091              96.11 Joules power/energy-pkg/                                                     
   149.262884326              94.70 Joules power/energy-pkg/                                                     
   150.264203344              95.32 Joules power/energy-pkg/                                                     
   151.265576887              94.33 Joules power/energy-pkg/                                                     
   152.266910748              94.14 Joules power/energy-pkg/                                                     
   153.268254209              94.85 Joules power/energy-pkg/                                                     
   154.269591394              95.87 Joules power/energy-pkg/                                                     
   155.270951610              94.53 Joules power/energy-pkg/                                                     
   156.272260883              95.31 Joules power/energy-pkg/                                                     
#           time             counts   unit events
   157.273627755              95.25 Joules power/energy-pkg/                                                     
   158.274928857              96.24 Joules power/energy-pkg/                                                     
   159.276284254              97.48 Joules power/energy-pkg/                                                     
   160.277644288              96.21 Joules power/energy-pkg/                                                     
   161.278960281              96.84 Joules power/energy-pkg/                                                     
