# started on Sat Mar  7 13:58:54 2026

#           time             counts unit events
     1.001025446     11,810,825,307      cycles                                                                
     1.001025446     17,439,026,638      instructions                     #    1.48  insn per cycle            
     1.001025446        809,177,540      cache-references                                                      
     1.001025446         77,320,279      cache-misses                     #    9.56% of all cache refs         
     1.001025446        384,377,603      L1-dcache-load-misses                                                 
     1.001025446    <not supported>      LLC-load-misses                                                       
     2.002590188      7,768,314,368      cycles                                                                
     2.002590188     16,217,882,195      instructions                     #    2.09  insn per cycle            
     2.002590188        453,883,934      cache-references                                                      
     2.002590188         49,789,725      cache-misses                     #   10.97% of all cache refs         
     2.002590188        184,793,844      L1-dcache-load-misses                                                 
     2.002590188    <not supported>      LLC-load-misses                                                       
     3.003673584      7,371,485,591      cycles                                                                
     3.003673584     16,252,782,791      instructions                     #    2.20  insn per cycle            
     3.003673584        383,747,307      cache-references                                                      
     3.003673584         40,532,039      cache-misses                     #   10.56% of all cache refs         
     3.003673584        152,552,819      L1-dcache-load-misses                                                 
     3.003673584    <not supported>      LLC-load-misses                                                       
     4.004347542      7,509,754,306      cycles                                                                
     4.004347542     13,251,848,929      instructions                     #    1.76  insn per cycle            
     4.004347542        402,060,192      cache-references                                                      
     4.004347542         34,004,453      cache-misses                     #    8.46% of all cache refs         
     4.004347542        202,653,712      L1-dcache-load-misses                                                 
     4.004347542    <not supported>      LLC-load-misses                                                       
     5.005443677      7,460,259,519      cycles                                                                
     5.005443677     14,159,506,067      instructions                     #    1.90  insn per cycle            
     5.005443677        436,732,874      cache-references                                                      
     5.005443677         37,070,754      cache-misses                     #    8.49% of all cache refs         
     5.005443677        216,424,786      L1-dcache-load-misses                                                 
     5.005443677    <not supported>      LLC-load-misses                                                       
     6.006541882      7,489,775,814      cycles                                                                
     6.006541882     16,423,666,385      instructions                     #    2.19  insn per cycle            
     6.006541882        313,550,984      cache-references                                                      
     6.006541882         23,407,295      cache-misses                     #    7.47% of all cache refs         
     6.006541882        163,233,062      L1-dcache-load-misses                                                 
     6.006541882    <not supported>      LLC-load-misses                                                       
     7.007872906      7,383,775,988      cycles                                                                
     7.007872906     14,828,585,495      instructions                     #    2.01  insn per cycle            
     7.007872906        345,970,340      cache-references                                                      
     7.007872906         29,773,620      cache-misses                     #    8.61% of all cache refs         
     7.007872906        155,726,252      L1-dcache-load-misses                                                 
     7.007872906    <not supported>      LLC-load-misses                                                       
     8.008974441      7,416,186,220      cycles                                                                
     8.008974441     15,242,775,345      instructions                     #    2.06  insn per cycle            
     8.008974441        331,464,928      cache-references                                                      
     8.008974441         28,615,357      cache-misses                     #    8.63% of all cache refs         
     8.008974441        144,910,567      L1-dcache-load-misses                                                 
     8.008974441    <not supported>      LLC-load-misses                                                       
     9.009131463      7,383,511,229      cycles                                                                
     9.009131463     17,400,882,580      instructions                     #    2.36  insn per cycle            
     9.009131463        287,556,297      cache-references                                                      
     9.009131463         24,443,824      cache-misses                     #    8.50% of all cache refs         
     9.009131463        128,845,269      L1-dcache-load-misses                                                 
     9.009131463    <not supported>      LLC-load-misses                                                       
    10.010262848      7,454,963,421      cycles                                                                
    10.010262848     19,478,681,526      instructions                     #    2.61  insn per cycle            
    10.010262848        296,644,265      cache-references                                                      
    10.010262848         27,280,180      cache-misses                     #    9.20% of all cache refs         
    10.010262848        128,828,108      L1-dcache-load-misses                                                 
    10.010262848    <not supported>      LLC-load-misses                                                       
    11.011400193      7,411,346,832      cycles                                                                
    11.011400193     18,126,975,037      instructions                     #    2.45  insn per cycle            
    11.011400193        320,838,133      cache-references                                                      
    11.011400193         32,785,249      cache-misses                     #   10.22% of all cache refs         
    11.011400193        132,528,338      L1-dcache-load-misses                                                 
    11.011400193    <not supported>      LLC-load-misses                                                       
    12.012496558      7,384,851,396      cycles                                                                
    12.012496558     17,898,002,138      instructions                     #    2.42  insn per cycle            
    12.012496558        340,391,355      cache-references                                                      
    12.012496558         32,313,168      cache-misses                     #    9.49% of all cache refs         
    12.012496558        134,647,509      L1-dcache-load-misses                                                 
    12.012496558    <not supported>      LLC-load-misses                                                       
    13.013357685      7,441,526,430      cycles                                                                
    13.013357685     19,158,202,740      instructions                     #    2.57  insn per cycle            
    13.013357685        294,154,176      cache-references                                                      
    13.013357685         28,803,232      cache-misses                     #    9.79% of all cache refs         
    13.013357685        121,643,548      L1-dcache-load-misses                                                 
    13.013357685    <not supported>      LLC-load-misses                                                       
    14.014718289      7,445,422,093      cycles                                                                
    14.014718289     17,643,217,434      instructions                     #    2.37  insn per cycle            
    14.014718289        332,183,348      cache-references                                                      
    14.014718289         31,394,862      cache-misses                     #    9.45% of all cache refs         
    14.014718289        131,150,422      L1-dcache-load-misses                                                 
    14.014718289    <not supported>      LLC-load-misses                                                       
    15.015768474      7,351,952,069      cycles                                                                
    15.015768474     14,688,140,923      instructions                     #    2.00  insn per cycle            
    15.015768474        311,500,457      cache-references                                                      
    15.015768474         33,449,361      cache-misses                     #   10.74% of all cache refs         
    15.015768474        127,401,953      L1-dcache-load-misses                                                 
    15.015768474    <not supported>      LLC-load-misses                                                       
    16.016841650      7,450,538,503      cycles                                                                
    16.016841650     17,859,999,205      instructions                     #    2.40  insn per cycle            
    16.016841650        296,893,452      cache-references                                                      
    16.016841650         28,476,604      cache-misses                     #    9.59% of all cache refs         
    16.016841650        122,653,268      L1-dcache-load-misses                                                 
    16.016841650    <not supported>      LLC-load-misses                                                       
    17.017968545      7,465,852,495      cycles                                                                
    17.017968545     16,541,608,065      instructions                     #    2.22  insn per cycle            
    17.017968545        293,654,550      cache-references                                                      
    17.017968545         27,657,099      cache-misses                     #    9.42% of all cache refs         
    17.017968545        131,775,251      L1-dcache-load-misses                                                 
    17.017968545    <not supported>      LLC-load-misses                                                       
    18.018358304      7,475,900,920      cycles                                                                
    18.018358304     16,574,989,977      instructions                     #    2.22  insn per cycle            
    18.018358304        294,431,679      cache-references                                                      
    18.018358304         28,785,465      cache-misses                     #    9.78% of all cache refs         
    18.018358304        130,633,797      L1-dcache-load-misses                                                 
    18.018358304    <not supported>      LLC-load-misses                                                       
    19.019469260      7,137,277,792      cycles                                                                
    19.019469260     18,203,793,007      instructions                     #    2.55  insn per cycle            
    19.019469260        291,592,466      cache-references                                                      
    19.019469260         27,162,186      cache-misses                     #    9.32% of all cache refs         
    19.019469260        118,115,780      L1-dcache-load-misses                                                 
    19.019469260    <not supported>      LLC-load-misses                                                       
    20.020354626      7,368,751,410      cycles                                                                
    20.020354626     17,438,844,898      instructions                     #    2.37  insn per cycle            
    20.020354626        327,576,837      cache-references                                                      
    20.020354626         32,754,006      cache-misses                     #   10.00% of all cache refs         
    20.020354626        132,500,844      L1-dcache-load-misses                                                 
    20.020354626    <not supported>      LLC-load-misses                                                       
    21.020905035      7,458,509,640      cycles                                                                
    21.020905035     16,078,172,834      instructions                     #    2.16  insn per cycle            
    21.020905035        291,125,520      cache-references                                                      
    21.020905035         26,656,417      cache-misses                     #    9.16% of all cache refs         
    21.020905035        133,904,911      L1-dcache-load-misses                                                 
    21.020905035    <not supported>      LLC-load-misses                                                       
    22.021044446      7,381,163,875      cycles                                                                
    22.021044446     16,634,633,064      instructions                     #    2.25  insn per cycle            
    22.021044446        389,121,593      cache-references                                                      
    22.021044446         36,163,977      cache-misses                     #    9.29% of all cache refs         
    22.021044446        159,059,801      L1-dcache-load-misses                                                 
    22.021044446    <not supported>      LLC-load-misses                                                       
    23.022119212      7,417,699,712      cycles                                                                
    23.022119212     17,655,414,361      instructions                     #    2.38  insn per cycle            
    23.022119212        363,375,858      cache-references                                                      
    23.022119212         33,476,640      cache-misses                     #    9.21% of all cache refs         
    23.022119212        155,720,685      L1-dcache-load-misses                                                 
    23.022119212    <not supported>      LLC-load-misses                                                       
    24.023222337      7,426,146,233      cycles                                                                
    24.023222337     17,351,473,199      instructions                     #    2.34  insn per cycle            
    24.023222337        347,536,232      cache-references                                                      
