# started on Fri Apr  3 18:58:14 2026

#           time             counts   unit events
   112.722047402              97.00 Joules power/energy-pkg/                                                     
   113.723342147             100.14 Joules power/energy-pkg/                                                     
   114.723661658              92.11 Joules power/energy-pkg/                                                     
   115.727712279              95.25 Joules power/energy-pkg/                                                     
   116.728955412              94.06 Joules power/energy-pkg/                                                     
   117.730232125              92.24 Joules power/energy-pkg/                                                     
   118.731506195              91.81 Joules power/energy-pkg/                                                     
   119.732802849              92.99 Joules power/energy-pkg/                                                     
   120.734045397              92.25 Joules power/energy-pkg/                                                     
   121.735300068              98.61 Joules power/energy-pkg/                                                     
   122.736585228              94.80 Joules power/energy-pkg/                                                     
   123.737882807              90.91 Joules power/energy-pkg/                                                     
   124.738631951              96.51 Joules power/energy-pkg/                                                     
   125.739893122              98.50 Joules power/energy-pkg/                                                     
   126.741018383              96.49 Joules power/energy-pkg/                                                     
   127.742301954              95.15 Joules power/energy-pkg/                                                     
   128.743586558              89.20 Joules power/energy-pkg/                                                     
   129.744639634              89.27 Joules power/energy-pkg/                                                     
   130.745870572              92.32 Joules power/energy-pkg/                                                     
#           time             counts   unit events
   131.747095748              92.50 Joules power/energy-pkg/                                                     
   132.748353837              91.16 Joules power/energy-pkg/                                                     
   133.749511269              88.39 Joules power/energy-pkg/                                                     
   134.750628774              94.04 Joules power/energy-pkg/                                                     
   135.751867392              94.01 Joules power/energy-pkg/                                                     
   136.753102280              92.81 Joules power/energy-pkg/                                                     
   137.754382150              91.83 Joules power/energy-pkg/                                                     
   138.754941402              90.17 Joules power/energy-pkg/                                                     
   139.756215130              93.88 Joules power/energy-pkg/                                                     
   140.757491138              92.23 Joules power/energy-pkg/                                                     
   141.758785580              91.40 Joules power/energy-pkg/                                                     
   142.760057021              93.36 Joules power/energy-pkg/                                                     
   143.761323232              99.39 Joules power/energy-pkg/                                                     
   144.762307521              94.20 Joules power/energy-pkg/                                                     
   145.763560141              94.84 Joules power/energy-pkg/                                                     
   146.764218456              94.81 Joules power/energy-pkg/                                                     
   147.765485508              93.93 Joules power/energy-pkg/                                                     
   148.766319366              95.05 Joules power/energy-pkg/                                                     
   149.767311714              97.22 Joules power/energy-pkg/                                                     
   150.768513394              95.72 Joules power/energy-pkg/                                                     
   151.769691367              91.85 Joules power/energy-pkg/                                                     
   152.772681701              91.61 Joules power/energy-pkg/                                                     
   153.774654733              88.53 Joules power/energy-pkg/                                                     
   154.778681826              93.79 Joules power/energy-pkg/                                                     
   155.780684580              95.88 Joules power/energy-pkg/                                                     
   156.783685955              98.96 Joules power/energy-pkg/                                                     
#           time             counts   unit events
   157.786553361              95.04 Joules power/energy-pkg/                                                     
   158.787658526              93.15 Joules power/energy-pkg/                                                     
   159.790738831              98.87 Joules power/energy-pkg/                                                     
   160.791685594             101.56 Joules power/energy-pkg/                                                     
   161.793662232             102.61 Joules power/energy-pkg/                                                     
   162.796730573             102.88 Joules power/energy-pkg/                                                     
   163.797992327             101.63 Joules power/energy-pkg/                                                     
   164.799250493             104.68 Joules power/energy-pkg/                                                     
   165.799809510             104.49 Joules power/energy-pkg/                                                     
   166.801082912              99.06 Joules power/energy-pkg/                                                     
   167.802343457              95.83 Joules power/energy-pkg/                                                     
   168.803101220              94.16 Joules power/energy-pkg/                                                     
   169.804126585              96.68 Joules power/energy-pkg/                                                     
   170.805240392              98.46 Joules power/energy-pkg/                                                     
   171.806521717              98.09 Joules power/energy-pkg/                                                     
   172.809463950              99.14 Joules power/energy-pkg/                                                     
   173.810673076             103.18 Joules power/energy-pkg/                                                     
   174.814404449              96.13 Joules power/energy-pkg/                                                     
   175.815729125              95.24 Joules power/energy-pkg/                                                     
