# started on Fri Apr  3 17:53:47 2026

#           time             counts   unit events
     1.001072312              62.73 Joules power/energy-pkg/                                                     
     2.003672210              60.29 Joules power/energy-pkg/                                                     
     3.005063378              60.86 Joules power/energy-pkg/                                                     
     4.006056766              61.17 Joules power/energy-pkg/                                                     
     5.008056697              63.49 Joules power/energy-pkg/                                                     
     6.011057458              61.68 Joules power/energy-pkg/                                                     
     7.012055939              58.39 Joules power/energy-pkg/                                                     
     8.014060821              57.88 Joules power/energy-pkg/                                                     
     9.015055282              59.54 Joules power/energy-pkg/                                                     
    10.016060007              60.39 Joules power/energy-pkg/                                                     
    11.017027042              57.62 Joules power/energy-pkg/                                                     
    12.019051966              59.27 Joules power/energy-pkg/                                                     
    13.020051878              58.93 Joules power/energy-pkg/                                                     
    14.021065329              57.77 Joules power/energy-pkg/                                                     
    15.022024817              57.69 Joules power/energy-pkg/                                                     
    16.023061912              57.24 Joules power/energy-pkg/                                                     
    17.027025466              58.82 Joules power/energy-pkg/                                                     
    18.028066228              58.55 Joules power/energy-pkg/                                                     
    19.029086399              57.96 Joules power/energy-pkg/                                                     
    20.030093311              57.52 Joules power/energy-pkg/                                                     
    21.031074475              56.13 Joules power/energy-pkg/                                                     
    22.032071036              55.39 Joules power/energy-pkg/                                                     
    23.033078795              55.33 Joules power/energy-pkg/                                                     
    24.034048223              55.48 Joules power/energy-pkg/                                                     
    25.035083128              55.33 Joules power/energy-pkg/                                                     
    26.039078058              56.06 Joules power/energy-pkg/                                                     
#           time             counts   unit events
    27.040085843              56.60 Joules power/energy-pkg/                                                     
    28.041081064              56.84 Joules power/energy-pkg/                                                     
    29.042083803              56.86 Joules power/energy-pkg/                                                     
    30.043074231              57.87 Joules power/energy-pkg/                                                     
    31.044078922              56.68 Joules power/energy-pkg/                                                     
    32.045070174              58.10 Joules power/energy-pkg/                                                     
    33.046075325              58.06 Joules power/energy-pkg/                                                     
    34.047084403              56.88 Joules power/energy-pkg/                                                     
    35.048057521              57.46 Joules power/energy-pkg/                                                     
    36.049078549              56.17 Joules power/energy-pkg/                                                     
    37.050039237              56.58 Joules power/energy-pkg/                                                     
    38.051064045              57.63 Joules power/energy-pkg/                                                     
    39.052053286              59.56 Joules power/energy-pkg/                                                     
    40.055055038              61.57 Joules power/energy-pkg/                                                     
    41.056049792              58.66 Joules power/energy-pkg/                                                     
    42.057054427              60.31 Joules power/energy-pkg/                                                     
    43.058053325              58.86 Joules power/energy-pkg/                                                     
