# started on Fri Apr  3 19:03:10 2026

#           time             counts   unit events
     1.001067926             103.63 Joules power/energy-pkg/                                                     
     2.003055845             104.56 Joules power/energy-pkg/                                                     
     3.004404524             105.73 Joules power/energy-pkg/                                                     
     4.005689575              97.92 Joules power/energy-pkg/                                                     
     5.006987669              98.42 Joules power/energy-pkg/                                                     
     6.008321711              98.18 Joules power/energy-pkg/                                                     
     7.009598281              94.86 Joules power/energy-pkg/                                                     
     8.010898939              95.13 Joules power/energy-pkg/                                                     
     9.012259153              94.67 Joules power/energy-pkg/                                                     
    10.013539640              95.37 Joules power/energy-pkg/                                                     
    11.014845737              95.46 Joules power/energy-pkg/                                                     
    12.016152997              94.06 Joules power/energy-pkg/                                                     
    13.017436612              95.42 Joules power/energy-pkg/                                                     
    14.018731732              99.16 Joules power/energy-pkg/                                                     
    15.020035157             103.47 Joules power/energy-pkg/                                                     
    16.021360241             101.97 Joules power/energy-pkg/                                                     
    17.023290868              97.63 Joules power/energy-pkg/                                                     
    18.027294831              97.11 Joules power/energy-pkg/                                                     
    19.029291720              97.54 Joules power/energy-pkg/                                                     
    20.032371899              99.15 Joules power/energy-pkg/                                                     
    21.033668803              97.99 Joules power/energy-pkg/                                                     
    22.034975849              96.93 Joules power/energy-pkg/                                                     
    23.036388918              98.02 Joules power/energy-pkg/                                                     
    24.037685658              98.10 Joules power/energy-pkg/                                                     
    25.038994822              98.91 Joules power/energy-pkg/                                                     
    26.040332078             100.29 Joules power/energy-pkg/                                                     
#           time             counts   unit events
    27.041623625             101.11 Joules power/energy-pkg/                                                     
    28.042927965             106.36 Joules power/energy-pkg/                                                     
    29.045250224              97.84 Joules power/energy-pkg/                                                     
    30.046522285              97.59 Joules power/energy-pkg/                                                     
    31.047240764              97.65 Joules power/energy-pkg/                                                     
    32.048519379              94.30 Joules power/energy-pkg/                                                     
    33.049813214              97.56 Joules power/energy-pkg/                                                     
    34.050268602              97.16 Joules power/energy-pkg/                                                     
    35.052282844              92.57 Joules power/energy-pkg/                                                     
    36.054287940              93.00 Joules power/energy-pkg/                                                     
    37.057270136              94.62 Joules power/energy-pkg/                                                     
    38.061342968              94.79 Joules power/energy-pkg/                                                     
    39.063293560              92.93 Joules power/energy-pkg/                                                     
    40.065360156              97.21 Joules power/energy-pkg/                                                     
    41.066682917              97.87 Joules power/energy-pkg/                                                     
    42.070441938              94.96 Joules power/energy-pkg/                                                     
    43.071335595              95.19 Joules power/energy-pkg/                                                     
    44.072620945              97.30 Joules power/energy-pkg/                                                     
    45.073266744              95.25 Joules power/energy-pkg/                                                     
    46.075287398              93.32 Joules power/energy-pkg/                                                     
    47.080295885              92.41 Joules power/energy-pkg/                                                     
    48.083244272              91.71 Joules power/energy-pkg/                                                     
    49.087273546              94.30 Joules power/energy-pkg/                                                     
    50.092291760              96.48 Joules power/energy-pkg/                                                     
    51.095264766              97.00 Joules power/energy-pkg/                                                     
    52.098285809              96.38 Joules power/energy-pkg/                                                     
#           time             counts   unit events
    53.103265880              98.66 Joules power/energy-pkg/                                                     
    54.106297334              97.76 Joules power/energy-pkg/                                                     
    55.111303369              97.48 Joules power/energy-pkg/                                                     
    56.117266635              99.87 Joules power/energy-pkg/                                                     
    57.123289374              93.60 Joules power/energy-pkg/                                                     
    58.127277142              98.86 Joules power/energy-pkg/                                                     
    59.131273790              91.54 Joules power/energy-pkg/                                                     
    60.134298407              92.94 Joules power/energy-pkg/                                                     
    61.137300070              92.42 Joules power/energy-pkg/                                                     
    62.140299758              89.05 Joules power/energy-pkg/                                                     
    63.143289531              91.74 Joules power/energy-pkg/                                                     
    64.146289615              92.58 Joules power/energy-pkg/                                                     
    65.148290516              94.13 Joules power/energy-pkg/                                                     
    66.150294964              93.27 Joules power/energy-pkg/                                                     
    67.152294569              89.30 Joules power/energy-pkg/                                                     
    68.158294268              94.12 Joules power/energy-pkg/                                                     
    69.160270026              93.78 Joules power/energy-pkg/                                                     
    70.162290687              99.83 Joules power/energy-pkg/                                                     
    71.167266875              97.05 Joules power/energy-pkg/                                                     
    72.169266808              90.29 Joules power/energy-pkg/                                                     
    73.172301455              95.90 Joules power/energy-pkg/                                                     
    74.174296066              95.16 Joules power/energy-pkg/                                                     
    75.179288314              92.55 Joules power/energy-pkg/                                                     
    76.181276126              93.15 Joules power/energy-pkg/                                                     
    77.183258349              89.49 Joules power/energy-pkg/                                                     
    78.188292195              92.25 Joules power/energy-pkg/                                                     
#           time             counts   unit events
    79.190427112              92.17 Joules power/energy-pkg/                                                     
    80.193293643              92.08 Joules power/energy-pkg/                                                     
    81.195296479              93.74 Joules power/energy-pkg/                                                     
    82.197260166              93.19 Joules power/energy-pkg/                                                     
    83.199293240              95.35 Joules power/energy-pkg/                                                     
    84.201263784              95.25 Joules power/energy-pkg/                                                     
    85.203252451              97.77 Joules power/energy-pkg/                                                     
    86.205369822              98.02 Joules power/energy-pkg/                                                     
    87.206295816              94.63 Joules power/energy-pkg/                                                     
    88.209303814             102.38 Joules power/energy-pkg/                                                     
    89.211286273              93.81 Joules power/energy-pkg/                                                     
    90.215287057              89.97 Joules power/energy-pkg/                                                     
    91.218369685              90.83 Joules power/energy-pkg/                                                     
    92.219673005              91.95 Joules power/energy-pkg/                                                     
    93.221008886              95.88 Joules power/energy-pkg/                                                     
    94.222332189              99.64 Joules power/energy-pkg/                                                     
    95.225496114             100.54 Joules power/energy-pkg/                                                     
    96.226816516              97.96 Joules power/energy-pkg/                                                     
    97.228120749              91.35 Joules power/energy-pkg/                                                     
    98.231286566              96.16 Joules power/energy-pkg/                                                     
    99.233291101              97.16 Joules power/energy-pkg/                                                     
   100.235365881              95.94 Joules power/energy-pkg/                                                     
   101.236679037              96.57 Joules power/energy-pkg/                                                     
   102.237987228              96.79 Joules power/energy-pkg/                                                     
   103.239349894              98.68 Joules power/energy-pkg/                                                     
   104.240646511              98.81 Joules power/energy-pkg/                                                     
#           time             counts   unit events
   105.241934422              98.57 Joules power/energy-pkg/                                                     
   106.243374364              98.11 Joules power/energy-pkg/                                                     
   107.244293301              96.28 Joules power/energy-pkg/                                                     
   108.248283533              96.45 Joules power/energy-pkg/                                                     
   109.251287094              94.97 Joules power/energy-pkg/                                                     
   110.253280248              96.56 Joules power/energy-pkg/                                                     
   111.256975111              91.64 Joules power/energy-pkg/                                                     
   112.258328525              92.80 Joules power/energy-pkg/                                                     
   113.259629000              97.30 Joules power/energy-pkg/                                                     
   114.260259145              97.45 Joules power/energy-pkg/                                                     
   115.262301514             100.33 Joules power/energy-pkg/                                                     
   116.268292580             100.48 Joules power/energy-pkg/                                                     
   117.274267811              98.36 Joules power/energy-pkg/                                                     
   118.279288192             104.03 Joules power/energy-pkg/                                                     
   119.283296425              97.54 Joules power/energy-pkg/                                                     
   120.288294398              97.39 Joules power/energy-pkg/                                                     
   121.290271675              99.15 Joules power/energy-pkg/                                                     
   122.294288095              97.81 Joules power/energy-pkg/                                                     
   123.305267122              96.39 Joules power/energy-pkg/                                                     
   124.307299614              96.95 Joules power/energy-pkg/                                                     
   125.310300874              97.89 Joules power/energy-pkg/                                                     
   126.332267253              98.53 Joules power/energy-pkg/                                                     
   127.336301162              97.28 Joules power/energy-pkg/                                                     
   128.341290928              98.87 Joules power/energy-pkg/                                                     
   129.348292358              99.56 Joules power/energy-pkg/                                                     
   130.362291154              99.13 Joules power/energy-pkg/                                                     
#           time             counts   unit events
   131.376453706              96.92 Joules power/energy-pkg/                                                     
   132.388288619             100.59 Joules power/energy-pkg/                                                     
   133.408298381              98.36 Joules power/energy-pkg/                                                     
   134.421293068              97.95 Joules power/energy-pkg/                                                     
   135.433299750              97.11 Joules power/energy-pkg/                                                     
   136.444260833              96.80 Joules power/energy-pkg/                                                     
   137.447306725              94.03 Joules power/energy-pkg/                                                     
   138.451306314              93.16 Joules power/energy-pkg/                                                     
   139.464292540              94.79 Joules power/energy-pkg/                                                     
   140.483296515              93.44 Joules power/energy-pkg/                                                     
   141.491290604              91.38 Joules power/energy-pkg/                                                     
   142.493292006              94.94 Joules power/energy-pkg/                                                     
   143.498302714              96.59 Joules power/energy-pkg/                                                     
   144.503294727              95.79 Joules power/energy-pkg/                                                     
   145.505286849              97.25 Joules power/energy-pkg/                                                     
   146.510290860              95.79 Joules power/energy-pkg/                                                     
   147.512286790              97.73 Joules power/energy-pkg/                                                     
   148.514288301             100.13 Joules power/energy-pkg/                                                     
   149.516292907              95.39 Joules power/energy-pkg/                                                     
   150.518392799              96.82 Joules power/energy-pkg/                                                     
   151.520276356              96.86 Joules power/energy-pkg/                                                     
   152.522248802              97.45 Joules power/energy-pkg/                                                     
   153.525274926              95.77 Joules power/energy-pkg/                                                     
   154.527275643              96.33 Joules power/energy-pkg/                                                     
   155.531243930              94.96 Joules power/energy-pkg/                                                     
   156.536292632              98.79 Joules power/energy-pkg/                                                     
#           time             counts   unit events
   157.538248189             104.18 Joules power/energy-pkg/                                                     
   158.540277601             102.53 Joules power/energy-pkg/                                                     
   159.542275043              97.73 Joules power/energy-pkg/                                                     
   160.544271577              97.20 Joules power/energy-pkg/                                                     
   161.549275986              95.68 Joules power/energy-pkg/                                                     
   162.551277324              95.97 Joules power/energy-pkg/                                                     
   163.553291907              97.94 Joules power/energy-pkg/                                                     
   164.555270309              96.32 Joules power/energy-pkg/                                                     
   165.557293087              94.56 Joules power/energy-pkg/                                                     
   166.559261574              95.56 Joules power/energy-pkg/                                                     
   167.562266214              95.70 Joules power/energy-pkg/                                                     
   168.564292398              95.45 Joules power/energy-pkg/                                                     
   169.567254358              93.55 Joules power/energy-pkg/                                                     
   170.570274690              92.85 Joules power/energy-pkg/                                                     
   171.572293220              93.88 Joules power/energy-pkg/                                                     
   172.575294777              96.38 Joules power/energy-pkg/                                                     
