# started on Sat Mar  7 15:02:49 2026

#           time             counts unit events
     1.001017295      3,619,966,995      cycles                                                                
     1.001017295      7,438,999,366      instructions                     #    2.05  insn per cycle            
     1.001017295        268,994,001      cache-references                                                      
     1.001017295         27,882,029      cache-misses                     #   10.37% of all cache refs         
     1.001017295        116,379,754      L1-dcache-load-misses                                                 
     1.001017295    <not supported>      LLC-load-misses                                                       
     2.002280898            229,228      cycles                                                                
     2.002280898             95,137      instructions                     #    0.42  insn per cycle            
     2.002280898             12,066      cache-references                                                      
     2.002280898              2,658      cache-misses                     #   22.03% of all cache refs         
     2.002280898              4,474      L1-dcache-load-misses                                                 
     2.002280898    <not supported>      LLC-load-misses                                                       
     3.003348702            106,297      cycles                                                                
     3.003348702             24,703      instructions                     #    0.23  insn per cycle            
     3.003348702              3,898      cache-references                                                      
     3.003348702              1,287      cache-misses                     #   33.02% of all cache refs         
     3.003348702                818      L1-dcache-load-misses                                                 
     3.003348702    <not supported>      LLC-load-misses                                                       
     4.004419466            225,337      cycles                                                                
     4.004419466            132,176      instructions                     #    0.59  insn per cycle            
     4.004419466             15,801      cache-references                                                      
     4.004419466              2,281      cache-misses                     #   14.44% of all cache refs         
     4.004419466              6,014      L1-dcache-load-misses                                                 
     4.004419466    <not supported>      LLC-load-misses                                                       
     5.005504580            290,476      cycles                                                                
     5.005504580            115,866      instructions                     #    0.40  insn per cycle            
     5.005504580             15,776      cache-references                                                      
     5.005504580              3,954      cache-misses                     #   25.06% of all cache refs         
     5.005504580              6,044      L1-dcache-load-misses                                                 
     5.005504580    <not supported>      LLC-load-misses                                                       
     6.006582764            177,906      cycles                                                                
     6.006582764             96,760      instructions                     #    0.54  insn per cycle            
     6.006582764             11,620      cache-references                                                      
     6.006582764              1,636      cache-misses                     #   14.08% of all cache refs         
     6.006582764              4,361      L1-dcache-load-misses                                                 
     6.006582764    <not supported>      LLC-load-misses                                                       
     7.007827877            161,693      cycles                                                                
     7.007827877             63,812      instructions                     #    0.39  insn per cycle            
     7.007827877              6,718      cache-references                                                      
     7.007827877              1,474      cache-misses                     #   21.94% of all cache refs         
     7.007827877              2,238      L1-dcache-load-misses                                                 
     7.007827877    <not supported>      LLC-load-misses                                                       
     8.008900822            208,650      cycles                                                                
     8.008900822             59,520      instructions                     #    0.29  insn per cycle            
     8.008900822              8,321      cache-references                                                      
     8.008900822              3,606      cache-misses                     #   43.34% of all cache refs         
     8.008900822              2,684      L1-dcache-load-misses                                                 
     8.008900822    <not supported>      LLC-load-misses                                                       
     9.009956476            143,839      cycles                                                                
     9.009956476             58,124      instructions                     #    0.40  insn per cycle            
     9.009956476              6,436      cache-references                                                      
     9.009956476              1,622      cache-misses                     #   25.20% of all cache refs         
     9.009956476              2,064      L1-dcache-load-misses                                                 
     9.009956476    <not supported>      LLC-load-misses                                                       
    10.010097247            151,412      cycles                                                                
