# started on Sun Mar  1 09:34:51 2026

#           time             counts unit events
     1.003461774      4,237,181,753      cycles                                                                
     1.003461774      7,385,269,794      instructions                     #    1.74  insn per cycle            
     1.003461774        302,143,664      cache-references                                                      
     1.003461774         30,218,556      cache-misses                     #   10.00% of all cache refs         
     1.003461774        136,736,649      L1-dcache-load-misses                                                 
     1.003461774    <not supported>      LLC-load-misses                                                       
     2.004455552         24,860,510      cycles                                                                
     2.004455552         30,765,595      instructions                     #    1.24  insn per cycle            
     2.004455552          1,583,288      cache-references                                                      
     2.004455552            198,841      cache-misses                     #   12.56% of all cache refs         
     2.004455552            701,632      L1-dcache-load-misses                                                 
     2.004455552    <not supported>      LLC-load-misses                                                       
     3.005521049            148,724      cycles                                                                
     3.005521049             57,849      instructions                     #    0.39  insn per cycle            
     3.005521049              9,078      cache-references                                                      
     3.005521049              2,308      cache-misses                     #   25.42% of all cache refs         
     3.005521049              2,581      L1-dcache-load-misses                                                 
     3.005521049    <not supported>      LLC-load-misses                                                       
     4.006617985            133,226      cycles                                                                
     4.006617985             56,831      instructions                     #    0.43  insn per cycle            
     4.006617985              7,723      cache-references                                                      
     4.006617985              1,558      cache-misses                     #   20.17% of all cache refs         
     4.006617985              2,216      L1-dcache-load-misses                                                 
     4.006617985    <not supported>      LLC-load-misses                                                       
     5.007688292            180,709      cycles                                                                
     5.007688292             56,761      instructions                     #    0.31  insn per cycle            
     5.007688292              8,914      cache-references                                                      
     5.007688292              2,309      cache-misses                     #   25.90% of all cache refs         
     5.007688292              2,925      L1-dcache-load-misses                                                 
     5.007688292    <not supported>      LLC-load-misses                                                       
     6.008758959            126,141      cycles                                                                
     6.008758959             24,761      instructions                     #    0.20  insn per cycle            
     6.008758959              5,467      cache-references                                                      
     6.008758959              3,044      cache-misses                     #   55.68% of all cache refs         
     6.008758959                837      L1-dcache-load-misses                                                 
     6.008758959    <not supported>      LLC-load-misses                                                       
     7.009840906            125,978      cycles                                                                
     7.009840906             44,867      instructions                     #    0.36  insn per cycle            
     7.009840906              6,846      cache-references                                                      
     7.009840906              2,271      cache-misses                     #   33.17% of all cache refs         
     7.009840906              1,658      L1-dcache-load-misses                                                 
     7.009840906    <not supported>      LLC-load-misses                                                       
     8.010909423            153,418      cycles                                                                
     8.010909423             83,653      instructions                     #    0.55  insn per cycle            
     8.010909423             11,390      cache-references                                                      
     8.010909423              2,135      cache-misses                     #   18.74% of all cache refs         
     8.010909423              3,577      L1-dcache-load-misses                                                 
     8.010909423    <not supported>      LLC-load-misses                                                       
     9.011980550            150,444      cycles                                                                
     9.011980550             46,713      instructions                     #    0.31  insn per cycle            
     9.011980550              7,115      cache-references                                                      
     9.011980550              2,380      cache-misses                     #   33.45% of all cache refs         
     9.011980550              1,675      L1-dcache-load-misses                                                 
     9.011980550    <not supported>      LLC-load-misses                                                       
    10.013051017            155,142      cycles                                                                
    10.013051017             61,047      instructions                     #    0.39  insn per cycle            
    10.013051017              8,674      cache-references                                                      
    10.013051017              2,399      cache-misses                     #   27.66% of all cache refs         
    10.013051017              2,546      L1-dcache-load-misses                                                 
    10.013051017    <not supported>      LLC-load-misses                                                       
    11.013451337            147,267      cycles                                                                
    11.013451337             45,173      instructions                     #    0.31  insn per cycle            
    11.013451337              7,080      cache-references                                                      
    11.013451337              2,375      cache-misses                     #   33.55% of all cache refs         
    11.013451337              1,741      L1-dcache-load-misses                                                 
    11.013451337    <not supported>      LLC-load-misses                                                       
    12.014522634            160,669      cycles                                                                
    12.014522634             68,952      instructions                     #    0.43  insn per cycle            
    12.014522634             10,158      cache-references                                                      
    12.014522634              2,482      cache-misses                     #   24.43% of all cache refs         
    12.014522634              3,040      L1-dcache-load-misses                                                 
    12.014522634    <not supported>      LLC-load-misses                                                       
    13.015458611            272,483      cycles                                                                
    13.015458611             76,422      instructions                     #    0.28  insn per cycle            
    13.015458611             12,102      cache-references                                                      
    13.015458611              4,400      cache-misses                     #   36.36% of all cache refs         
    13.015458611              3,874      L1-dcache-load-misses                                                 
    13.015458611    <not supported>      LLC-load-misses                                                       
    14.016459038            181,077      cycles                                                                
    14.016459038             56,873      instructions                     #    0.31  insn per cycle            
    14.016459038              9,321      cache-references                                                      
    14.016459038              3,382      cache-misses                     #   36.28% of all cache refs         
    14.016459038              2,930      L1-dcache-load-misses                                                 
    14.016459038    <not supported>      LLC-load-misses                                                       
    15.017528005            127,879      cycles                                                                
    15.017528005             44,797      instructions                     #    0.35  insn per cycle            
    15.017528005              7,383      cache-references                                                      
    15.017528005              2,192      cache-misses                     #   29.69% of all cache refs         
    15.017528005              1,712      L1-dcache-load-misses                                                 
    15.017528005    <not supported>      LLC-load-misses                                                       
    16.018580792            135,032      cycles                                                                
    16.018580792             45,903      instructions                     #    0.34  insn per cycle            
    16.018580792              6,994      cache-references                                                      
    16.018580792              2,188      cache-misses                     #   31.28% of all cache refs         
    16.018580792              1,732      L1-dcache-load-misses                                                 
    16.018580792    <not supported>      LLC-load-misses                                                       
    17.019641449            108,311      cycles                                                                
    17.019641449             24,854      instructions                     #    0.23  insn per cycle            
    17.019641449              5,329      cache-references                                                      
    17.019641449              2,282      cache-misses                     #   42.82% of all cache refs         
    17.019641449                963      L1-dcache-load-misses                                                 
    17.019641449    <not supported>      LLC-load-misses                                                       
    18.020454218            144,706      cycles                                                                
    18.020454218             45,209      instructions                     #    0.31  insn per cycle            
    18.020454218              7,274      cache-references                                                      
    18.020454218              3,118      cache-misses                     #   42.86% of all cache refs         
    18.020454218              1,810      L1-dcache-load-misses                                                 
    18.020454218    <not supported>      LLC-load-misses                                                       
    19.021453665            179,250      cycles                                                                
    19.021453665             45,132      instructions                     #    0.25  insn per cycle            
    19.021453665              7,625      cache-references                                                      
    19.021453665              3,268      cache-misses                     #   42.86% of all cache refs         
    19.021453665              2,329      L1-dcache-load-misses                                                 
    19.021453665    <not supported>      LLC-load-misses                                                       
    20.022537752            139,024      cycles                                                                
    20.022537752             24,890      instructions                     #    0.18  insn per cycle            
    20.022537752              4,452      cache-references                                                      
    20.022537752              2,449      cache-misses                     #   55.01% of all cache refs         
    20.022537752                931      L1-dcache-load-misses                                                 
    20.022537752    <not supported>      LLC-load-misses                                                       
    21.023607698            112,772      cycles                                                                
    21.023607698             24,787      instructions                     #    0.22  insn per cycle            
    21.023607698              4,852      cache-references                                                      
    21.023607698              2,022      cache-misses                     #   41.67% of all cache refs         
    21.023607698                862      L1-dcache-load-misses                                                 
    21.023607698    <not supported>      LLC-load-misses                                                       
    22.024676495            161,474      cycles                                                                
    22.024676495             70,712      instructions                     #    0.44  insn per cycle            
    22.024676495              9,963      cache-references                                                      
    22.024676495              2,506      cache-misses                     #   25.15% of all cache refs         
    22.024676495              3,015      L1-dcache-load-misses                                                 
