# started on Sun Mar  1 09:34:51 2026

#           time             counts unit events
     1.002794477     10,974,399,817      cycles                                                                
     1.002794477     16,064,928,373      instructions                     #    1.46  insn per cycle            
     1.002794477        759,202,839      cache-references                                                      
     1.002794477         74,820,762      cache-misses                     #    9.86% of all cache refs         
     1.002794477        353,033,981      L1-dcache-load-misses                                                 
     1.002794477    <not supported>      LLC-load-misses                                                       
     2.004027783      9,325,481,123      cycles                                                                
     2.004027783     16,124,429,140      instructions                     #    1.73  insn per cycle            
     2.004027783        568,637,098      cache-references                                                      
     2.004027783         56,111,625      cache-misses                     #    9.87% of all cache refs         
     2.004027783        263,125,929      L1-dcache-load-misses                                                 
     2.004027783    <not supported>      LLC-load-misses                                                       
     3.004159345      7,166,868,503      cycles                                                                
     3.004159345     14,736,307,354      instructions                     #    2.06  insn per cycle            
     3.004159345        380,553,810      cache-references                                                      
     3.004159345         38,072,283      cache-misses                     #   10.00% of all cache refs         
     3.004159345        159,371,616      L1-dcache-load-misses                                                 
     3.004159345    <not supported>      LLC-load-misses                                                       
     4.005242262      7,260,461,491      cycles                                                                
     4.005242262     17,742,789,084      instructions                     #    2.44  insn per cycle            
     4.005242262        316,437,522      cache-references                                                      
     4.005242262         30,795,412      cache-misses                     #    9.73% of all cache refs         
     4.005242262        128,665,901      L1-dcache-load-misses                                                 
     4.005242262    <not supported>      LLC-load-misses                                                       
     5.006154030      6,888,036,053      cycles                                                                
     5.006154030     12,679,286,038      instructions                     #    1.84  insn per cycle            
     5.006154030        453,313,871      cache-references                                                      
     5.006154030         46,874,205      cache-misses                     #   10.34% of all cache refs         
     5.006154030        183,155,271      L1-dcache-load-misses                                                 
     5.006154030    <not supported>      LLC-load-misses                                                       
     6.007268266      7,188,585,054      cycles                                                                
     6.007268266     16,062,683,056      instructions                     #    2.23  insn per cycle            
     6.007268266        370,315,031      cache-references                                                      
     6.007268266         36,980,091      cache-misses                     #    9.99% of all cache refs         
     6.007268266        157,746,183      L1-dcache-load-misses                                                 
     6.007268266    <not supported>      LLC-load-misses                                                       
     7.008406153      7,076,409,068      cycles                                                                
     7.008406153     16,579,936,358      instructions                     #    2.34  insn per cycle            
     7.008406153        324,582,044      cache-references                                                      
     7.008406153         28,747,801      cache-misses                     #    8.86% of all cache refs         
     7.008406153        139,702,058      L1-dcache-load-misses                                                 
     7.008406153    <not supported>      LLC-load-misses                                                       
     8.009522749      6,988,775,587      cycles                                                                
     8.009522749     14,363,939,852      instructions                     #    2.06  insn per cycle            
     8.009522749        403,703,969      cache-references                                                      
     8.009522749         39,286,935      cache-misses                     #    9.73% of all cache refs         
     8.009522749        168,043,876      L1-dcache-load-misses                                                 
     8.009522749    <not supported>      LLC-load-misses                                                       
     9.010651666      7,164,424,798      cycles                                                                
     9.010651666     13,190,986,938      instructions                     #    1.84  insn per cycle            
     9.010651666        308,103,623      cache-references                                                      
     9.010651666         27,508,609      cache-misses                     #    8.93% of all cache refs         
     9.010651666        143,115,251      L1-dcache-load-misses                                                 
     9.010651666    <not supported>      LLC-load-misses                                                       
    10.011076806      7,183,877,024      cycles                                                                
    10.011076806     15,165,704,768      instructions                     #    2.11  insn per cycle            
    10.011076806        320,708,197      cache-references                                                      
    10.011076806         30,845,850      cache-misses                     #    9.62% of all cache refs         
    10.011076806        135,293,096      L1-dcache-load-misses                                                 
    10.011076806    <not supported>      LLC-load-misses                                                       
    11.011519666      7,008,971,699      cycles                                                                
    11.011519666     16,915,866,216      instructions                     #    2.41  insn per cycle            
    11.011519666        377,796,803      cache-references                                                      
    11.011519666         35,575,480      cache-misses                     #    9.42% of all cache refs         
    11.011519666        142,603,636      L1-dcache-load-misses                                                 
    11.011519666    <not supported>      LLC-load-misses                                                       
    12.012645153      7,021,778,509      cycles                                                                
    12.012645153     16,522,115,165      instructions                     #    2.35  insn per cycle            
    12.012645153        334,931,874      cache-references                                                      
    12.012645153         32,837,312      cache-misses                     #    9.80% of all cache refs         
    12.012645153        135,553,517      L1-dcache-load-misses                                                 
    12.012645153    <not supported>      LLC-load-misses                                                       
    13.013450181      7,053,873,687      cycles                                                                
    13.013450181     16,359,400,653      instructions                     #    2.32  insn per cycle            
    13.013450181        347,894,881      cache-references                                                      
    13.013450181         32,678,110      cache-misses                     #    9.39% of all cache refs         
    13.013450181        141,905,873      L1-dcache-load-misses                                                 
    13.013450181    <not supported>      LLC-load-misses                                                       
    14.013927411      7,301,873,301      cycles                                                                
    14.013927411     17,332,810,498      instructions                     #    2.37  insn per cycle            
    14.013927411        350,912,164      cache-references                                                      
    14.013927411         32,146,153      cache-misses                     #    9.16% of all cache refs         
    14.013927411        150,001,263      L1-dcache-load-misses                                                 
    14.013927411    <not supported>      LLC-load-misses                                                       
    15.015042948      7,327,479,749      cycles                                                                
    15.015042948     17,472,513,006      instructions                     #    2.38  insn per cycle            
    15.015042948        351,778,067      cache-references                                                      
    15.015042948         32,090,109      cache-misses                     #    9.12% of all cache refs         
    15.015042948        155,027,217      L1-dcache-load-misses                                                 
    15.015042948    <not supported>      LLC-load-misses                                                       
    16.016148184      7,276,609,689      cycles                                                                
    16.016148184     16,787,963,097      instructions                     #    2.31  insn per cycle            
    16.016148184        353,616,320      cache-references                                                      
    16.016148184         31,911,305      cache-misses                     #    9.02% of all cache refs         
    16.016148184        159,137,111      L1-dcache-load-misses                                                 
    16.016148184    <not supported>      LLC-load-misses                                                       
