# started on Fri Apr  3 17:41:39 2026

#           time             counts   unit events
   112.388462089              96.83 Joules power/energy-pkg/                                                     
   113.389441300              95.76 Joules power/energy-pkg/                                                     
   114.390450165              95.53 Joules power/energy-pkg/                                                     
   115.391440573              93.17 Joules power/energy-pkg/                                                     
   116.392445728              94.30 Joules power/energy-pkg/                                                     
   117.393422350              97.01 Joules power/energy-pkg/                                                     
   118.394456633              98.68 Joules power/energy-pkg/                                                     
   119.395458905              96.14 Joules power/energy-pkg/                                                     
   120.396459090              96.41 Joules power/energy-pkg/                                                     
   121.400449464              93.81 Joules power/energy-pkg/                                                     
   122.401456191              90.57 Joules power/energy-pkg/                                                     
   123.402454573              90.52 Joules power/energy-pkg/                                                     
   124.403454462              90.51 Joules power/energy-pkg/                                                     
   125.404460536              90.64 Joules power/energy-pkg/                                                     
   126.405453560              90.84 Joules power/energy-pkg/                                                     
   127.406456002              90.21 Joules power/energy-pkg/                                                     
   128.407452530              90.79 Joules power/energy-pkg/                                                     
   129.409456289              96.19 Joules power/energy-pkg/                                                     
   130.410434720              98.84 Joules power/energy-pkg/                                                     
#           time             counts   unit events
   131.411443260              97.38 Joules power/energy-pkg/                                                     
   132.412456633              95.28 Joules power/energy-pkg/                                                     
   133.413463396              92.59 Joules power/energy-pkg/                                                     
   134.414457123              93.55 Joules power/energy-pkg/                                                     
   135.417452483              95.14 Joules power/energy-pkg/                                                     
   136.421434681              97.99 Joules power/energy-pkg/                                                     
   137.422456694             100.23 Joules power/energy-pkg/                                                     
   138.426432802              98.27 Joules power/energy-pkg/                                                     
   139.427417099              99.23 Joules power/energy-pkg/                                                     
   140.440889640             104.33 Joules power/energy-pkg/                                                     
   141.442156090             102.16 Joules power/energy-pkg/                                                     
   142.443426559             103.61 Joules power/energy-pkg/                                                     
   143.444440031             104.11 Joules power/energy-pkg/                                                     
   144.445412204             101.74 Joules power/energy-pkg/                                                     
   145.446440279              98.40 Joules power/energy-pkg/                                                     
   146.447450252              98.75 Joules power/energy-pkg/                                                     
   147.448440807              99.28 Joules power/energy-pkg/                                                     
   148.449443816             100.24 Joules power/energy-pkg/                                                     
   149.450440686             100.65 Joules power/energy-pkg/                                                     
   150.451416700             105.01 Joules power/energy-pkg/                                                     
   151.452420635             106.41 Joules power/energy-pkg/                                                     
   152.453421667             106.32 Joules power/energy-pkg/                                                     
   153.454445684             105.48 Joules power/energy-pkg/                                                     
   154.455450813              99.95 Joules power/energy-pkg/                                                     
   155.456424743             103.03 Joules power/energy-pkg/                                                     
   156.457423240             101.26 Joules power/energy-pkg/                                                     
#           time             counts   unit events
   157.458441503             101.06 Joules power/energy-pkg/                                                     
   158.460417068             100.57 Joules power/energy-pkg/                                                     
   159.461447748             100.42 Joules power/energy-pkg/                                                     
   160.462416660             101.78 Joules power/energy-pkg/                                                     
   161.463464184             100.27 Joules power/energy-pkg/                                                     
   162.464465021              95.90 Joules power/energy-pkg/                                                     
   163.467446365              96.23 Joules power/energy-pkg/                                                     
   164.468460021              93.82 Joules power/energy-pkg/                                                     
   165.469460810              90.73 Joules power/energy-pkg/                                                     
   166.470769833              88.68 Joules power/energy-pkg/                                                     
   167.472102216              89.97 Joules power/energy-pkg/                                                     
   168.473452759              86.15 Joules power/energy-pkg/                                                     
   169.474402440              83.91 Joules power/energy-pkg/                                                     
   170.638893751              99.81 Joules power/energy-pkg/                                                     
   171.640209522              88.60 Joules power/energy-pkg/                                                     
   172.641541261              87.48 Joules power/energy-pkg/                                                     
   173.642847924              89.64 Joules power/energy-pkg/                                                     
   174.643471081              86.35 Joules power/energy-pkg/                                                     
   175.767438679              98.47 Joules power/energy-pkg/                                                     
   176.771424988              89.70 Joules power/energy-pkg/                                                     
   177.772861058              90.84 Joules power/energy-pkg/                                                     
   178.774350323              90.22 Joules power/energy-pkg/                                                     
   179.775631903              84.09 Joules power/energy-pkg/                                                     
   180.776973359              88.67 Joules power/energy-pkg/                                                     
   181.777799966              90.73 Joules power/energy-pkg/                                                     
   182.779197728              91.54 Joules power/energy-pkg/                                                     
#           time             counts   unit events
   183.780581810              89.27 Joules power/energy-pkg/                                                     
   184.781948044              84.41 Joules power/energy-pkg/                                                     
   185.783316682              91.92 Joules power/energy-pkg/                                                     
   186.784454331              91.05 Joules power/energy-pkg/                                                     
   187.787409675              90.11 Joules power/energy-pkg/                                                     
   188.788453336              89.56 Joules power/energy-pkg/                                                     
   189.789441946              86.36 Joules power/energy-pkg/                                                     
   190.790452596              89.07 Joules power/energy-pkg/                                                     
   191.791410063              85.12 Joules power/energy-pkg/                                                     
   192.794443733              87.15 Joules power/energy-pkg/                                                     
   193.795446894              89.28 Joules power/energy-pkg/                                                     
   194.796461062              82.82 Joules power/energy-pkg/                                                     
   195.797390564              87.25 Joules power/energy-pkg/                                                     
   196.801449591              91.86 Joules power/energy-pkg/                                                     
   197.802455234              88.32 Joules power/energy-pkg/                                                     
   198.803453330              88.13 Joules power/energy-pkg/                                                     
   199.804452701              82.45 Joules power/energy-pkg/                                                     
   200.805711830              85.85 Joules power/energy-pkg/                                                     
   201.806964529              84.32 Joules power/energy-pkg/                                                     
   202.808213288              81.78 Joules power/energy-pkg/                                                     
   203.809403673              88.71 Joules power/energy-pkg/                                                     
   204.810509937              86.86 Joules power/energy-pkg/                                                     
   205.811403744              90.07 Joules power/energy-pkg/                                                     
   206.811720239              86.67 Joules power/energy-pkg/                                                     
   207.812445321              88.14 Joules power/energy-pkg/                                                     
   208.815417013              91.29 Joules power/energy-pkg/                                                     
#           time             counts   unit events
   209.816422095              89.97 Joules power/energy-pkg/                                                     
   210.817409342              89.63 Joules power/energy-pkg/                                                     
   211.818447208              89.85 Joules power/energy-pkg/                                                     
   212.819447193              89.68 Joules power/energy-pkg/                                                     
   213.820446331              91.12 Joules power/energy-pkg/                                                     
   214.821445109              91.36 Joules power/energy-pkg/                                                     
   215.822697034              96.26 Joules power/energy-pkg/                                                     
   216.823447760              91.98 Joules power/energy-pkg/                                                     
   217.824406029              94.35 Joules power/energy-pkg/                                                     
   218.825652647              93.65 Joules power/energy-pkg/                                                     
   219.826454491              93.99 Joules power/energy-pkg/                                                     
   220.830398803              93.01 Joules power/energy-pkg/                                                     
   221.831457579              92.25 Joules power/energy-pkg/                                                     
   222.835534893              95.61 Joules power/energy-pkg/                                                     
   223.836773736              95.72 Joules power/energy-pkg/                                                     
   224.838040219              93.55 Joules power/energy-pkg/                                                     
   225.839308855              88.24 Joules power/energy-pkg/                                                     
   226.840569771              95.16 Joules power/energy-pkg/                                                     
   227.841813807              89.24 Joules power/energy-pkg/                                                     
   228.843087759              88.15 Joules power/energy-pkg/                                                     
   229.843447238              86.22 Joules power/energy-pkg/                                                     
   230.845516972              88.01 Joules power/energy-pkg/                                                     
   231.846831301              85.10 Joules power/energy-pkg/                                                     
   232.848100743              84.75 Joules power/energy-pkg/                                                     
   233.849387037              86.42 Joules power/energy-pkg/                                                     
   234.850445330              88.11 Joules power/energy-pkg/                                                     
#           time             counts   unit events
   235.853532302              88.62 Joules power/energy-pkg/                                                     
   236.854822335              85.36 Joules power/energy-pkg/                                                     
   237.856087828              87.28 Joules power/energy-pkg/                                                     
   238.857390789              89.71 Joules power/energy-pkg/                                                     
   239.858733803              85.81 Joules power/energy-pkg/                                                     
   240.859412891              88.32 Joules power/energy-pkg/                                                     
   241.863456559              93.52 Joules power/energy-pkg/                                                     
   242.867447140              93.45 Joules power/energy-pkg/                                                     
   243.868444776              94.18 Joules power/energy-pkg/                                                     
   244.869454439              92.96 Joules power/energy-pkg/                                                     
   245.870419505              91.89 Joules power/energy-pkg/                                                     
   246.871446883              91.91 Joules power/energy-pkg/                                                     
   247.874448152              88.74 Joules power/energy-pkg/                                                     
   248.875437363              93.23 Joules power/energy-pkg/                                                     
   249.876440412              93.55 Joules power/energy-pkg/                                                     
   250.877447255             102.92 Joules power/energy-pkg/                                                     
   251.879444150              94.64 Joules power/energy-pkg/                                                     
   252.880442831              94.53 Joules power/energy-pkg/                                                     
   253.881444067              95.02 Joules power/energy-pkg/                                                     
   254.882439916              93.96 Joules power/energy-pkg/                                                     
   255.883450843              96.23 Joules power/energy-pkg/                                                     
   256.884440555             102.10 Joules power/energy-pkg/                                                     
   257.885442163              95.97 Joules power/energy-pkg/                                                     
   258.886441832              93.51 Joules power/energy-pkg/                                                     
   259.887442069              91.85 Joules power/energy-pkg/                                                     
   260.888440716              93.55 Joules power/energy-pkg/                                                     
#           time             counts   unit events
   261.889452463              95.51 Joules power/energy-pkg/                                                     
   262.890448808              95.15 Joules power/energy-pkg/                                                     
