# started on Sat Mar  7 15:24:21 2026

#           time             counts unit events
     1.001011967      3,578,883,718      cycles                                                                
     1.001011967      7,427,372,141      instructions                     #    2.08  insn per cycle            
     1.001011967        267,151,285      cache-references                                                      
     1.001011967         27,993,026      cache-misses                     #   10.48% of all cache refs         
     1.001011967        114,504,763      L1-dcache-load-misses                                                 
     1.001011967    <not supported>      LLC-load-misses                                                       
     2.002385560            213,156      cycles                                                                
     2.002385560             47,639      instructions                     #    0.22  insn per cycle            
     2.002385560              8,933      cache-references                                                      
     2.002385560              3,435      cache-misses                     #   38.45% of all cache refs         
     2.002385560              2,963      L1-dcache-load-misses                                                 
     2.002385560    <not supported>      LLC-load-misses                                                       
     3.003475366            192,987      cycles                                                                
     3.003475366             45,502      instructions                     #    0.24  insn per cycle            
     3.003475366              8,440      cache-references                                                      
     3.003475366              3,313      cache-misses                     #   39.25% of all cache refs         
     3.003475366              2,793      L1-dcache-load-misses                                                 
     3.003475366    <not supported>      LLC-load-misses                                                       
     4.004528762            221,657      cycles                                                                
     4.004528762             57,646      instructions                     #    0.26  insn per cycle            
     4.004528762              7,349      cache-references                                                      
     4.004528762              3,232      cache-misses                     #   43.98% of all cache refs         
     4.004528762              2,380      L1-dcache-load-misses                                                 
     4.004528762    <not supported>      LLC-load-misses                                                       
     5.005521968            184,579      cycles                                                                
     5.005521968             58,748      instructions                     #    0.32  insn per cycle            
     5.005521968              7,665      cache-references                                                      
     5.005521968              3,722      cache-misses                     #   48.56% of all cache refs         
     5.005521968              2,151      L1-dcache-load-misses                                                 
     5.005521968    <not supported>      LLC-load-misses                                                       
     6.006503095            164,300      cycles                                                                
     6.006503095             62,724      instructions                     #    0.38  insn per cycle            
     6.006503095              8,019      cache-references                                                      
     6.006503095              3,519      cache-misses                     #   43.88% of all cache refs         
     6.006503095              2,336      L1-dcache-load-misses                                                 
     6.006503095    <not supported>      LLC-load-misses                                                       
     7.007239913            137,728      cycles                                                                
     7.007239913             44,820      instructions                     #    0.33  insn per cycle            
     7.007239913              6,247      cache-references                                                      
     7.007239913              3,170      cache-misses                     #   50.74% of all cache refs         
     7.007239913              1,567      L1-dcache-load-misses                                                 
     7.007239913    <not supported>      LLC-load-misses                                                       
     8.008306239            210,418      cycles                                                                
     8.008306239             65,077      instructions                     #    0.31  insn per cycle            
     8.008306239              7,943      cache-references                                                      
     8.008306239              3,808      cache-misses                     #   47.94% of all cache refs         
     8.008306239              2,469      L1-dcache-load-misses                                                 
     8.008306239    <not supported>      LLC-load-misses                                                       
     9.009363985            155,357      cycles                                                                
     9.009363985             62,054      instructions                     #    0.40  insn per cycle            
     9.009363985              7,309      cache-references                                                      
     9.009363985              1,892      cache-misses                     #   25.89% of all cache refs         
     9.009363985              2,349      L1-dcache-load-misses                                                 
     9.009363985    <not supported>      LLC-load-misses                                                       
    10.010425420            206,959      cycles                                                                
    10.010425420             66,289      instructions                     #    0.32  insn per cycle            
    10.010425420              8,697      cache-references                                                      
    10.010425420              4,115      cache-misses                     #   47.32% of all cache refs         
    10.010425420              2,562      L1-dcache-load-misses                                                 
    10.010425420    <not supported>      LLC-load-misses                                                       
    11.011488916            189,867      cycles                                                                
    11.011488916             65,270      instructions                     #    0.34  insn per cycle            
    11.011488916              8,305      cache-references                                                      
    11.011488916              3,801      cache-misses                     #   45.77% of all cache refs         
    11.011488916              2,582      L1-dcache-load-misses                                                 
    11.011488916    <not supported>      LLC-load-misses                                                       
    12.012232445            172,139      cycles                                                                
    12.012232445             58,609      instructions                     #    0.34  insn per cycle            
    12.012232445              7,247      cache-references                                                      
    12.012232445              3,356      cache-misses                     #   46.31% of all cache refs         
    12.012232445              2,213      L1-dcache-load-misses                                                 
    12.012232445    <not supported>      LLC-load-misses                                                       
    13.013284401            171,081      cycles                                                                
    13.013284401             59,550      instructions                     #    0.35  insn per cycle            
    13.013284401              7,268      cache-references                                                      
    13.013284401              2,101      cache-misses                     #   28.91% of all cache refs         
    13.013284401              2,234      L1-dcache-load-misses                                                 
    13.013284401    <not supported>      LLC-load-misses                                                       
    14.014236867            139,287      cycles                                                                
    14.014236867             50,195      instructions                     #    0.36  insn per cycle            
    14.014236867              6,580      cache-references                                                      
    14.014236867              2,390      cache-misses                     #   36.32% of all cache refs         
    14.014236867              1,685      L1-dcache-load-misses                                                 
    14.014236867    <not supported>      LLC-load-misses                                                       
    15.015303293            170,978      cycles                                                                
    15.015303293             59,527      instructions                     #    0.35  insn per cycle            
    15.015303293              7,860      cache-references                                                      
    15.015303293              2,505      cache-misses                     #   31.87% of all cache refs         
    15.015303293              2,263      L1-dcache-load-misses                                                 
    15.015303293    <not supported>      LLC-load-misses                                                       
    16.016232590            249,645      cycles                                                                
    16.016232590             95,227      instructions                     #    0.38  insn per cycle            
    16.016232590             13,066      cache-references                                                      
    16.016232590              3,741      cache-misses                     #   28.63% of all cache refs         
    16.016232590              5,107      L1-dcache-load-misses                                                 
    16.016232590    <not supported>      LLC-load-misses                                                       
    17.017301716            287,762      cycles                                                                
    17.017301716            137,236      instructions                     #    0.48  insn per cycle            
    17.017301716             17,783      cache-references                                                      
    17.017301716              3,792      cache-misses                     #   21.32% of all cache refs         
    17.017301716              6,382      L1-dcache-load-misses                                                 
    17.017301716    <not supported>      LLC-load-misses                                                       
    18.018230423            158,317      cycles                                                                
    18.018230423             62,763      instructions                     #    0.40  insn per cycle            
    18.018230423              8,762      cache-references                                                      
    18.018230423              2,250      cache-misses                     #   25.68% of all cache refs         
    18.018230423              2,475      L1-dcache-load-misses                                                 
    18.018230423    <not supported>      LLC-load-misses                                                       
    19.019296528            169,038      cycles                                                                
    19.019296528             92,219      instructions                     #    0.55  insn per cycle            
    19.019296528             12,238      cache-references                                                      
    19.019296528              1,937      cache-misses                     #   15.83% of all cache refs         
    19.019296528              4,024      L1-dcache-load-misses                                                 
    19.019296528    <not supported>      LLC-load-misses                                                       
    20.020556503            145,278      cycles                                                                
    20.020556503             57,557      instructions                     #    0.40  insn per cycle            
    20.020556503              8,121      cache-references                                                      
    20.020556503              2,263      cache-misses                     #   27.87% of all cache refs         
    20.020556503              2,260      L1-dcache-load-misses                                                 
    20.020556503    <not supported>      LLC-load-misses                                                       
    21.021624009            227,530      cycles                                                                
    21.021624009            121,934      instructions                     #    0.54  insn per cycle            
    21.021624009             15,568      cache-references                                                      
    21.021624009              3,009      cache-misses                     #   19.33% of all cache refs         
    21.021624009              5,579      L1-dcache-load-misses                                                 
    21.021624009    <not supported>      LLC-load-misses                                                       
    22.022240878            233,651      cycles                                                                
    22.022240878            152,626      instructions                     #    0.65  insn per cycle            
    22.022240878             19,790      cache-references                                                      
    22.022240878              3,059      cache-misses                     #   15.46% of all cache refs         
    22.022240878              7,149      L1-dcache-load-misses                                                 
    22.022240878    <not supported>      LLC-load-misses                                                       
    23.022359160            202,155      cycles                                                                
    23.022359160             51,142      instructions                     #    0.25  insn per cycle            
    23.022359160              7,686      cache-references                                                      
    23.022359160              2,444      cache-misses                     #   31.80% of all cache refs         
    23.022359160              2,494      L1-dcache-load-misses                                                 
    23.022359160    <not supported>      LLC-load-misses                                                       
    24.023454196            194,250      cycles                                                                
    24.023454196             47,529      instructions                     #    0.24  insn per cycle            
    24.023454196              8,126      cache-references                                                      
    24.023454196              2,414      cache-misses                     #   29.71% of all cache refs         
    24.023454196              2,826      L1-dcache-load-misses                                                 
    24.023454196    <not supported>      LLC-load-misses                                                       
    25.024544462            213,244      cycles                                                                
    25.024544462             53,711      instructions                     #    0.25  insn per cycle            
    25.024544462              8,175      cache-references                                                      
    25.024544462              2,594      cache-misses                     #   31.73% of all cache refs         
    25.024544462              2,964      L1-dcache-load-misses                                                 
    25.024544462    <not supported>      LLC-load-misses                                                       
    26.025833966            214,071      cycles                                                                
    26.025833966             50,555      instructions                     #    0.24  insn per cycle            
    26.025833966              7,999      cache-references                                                      
    26.025833966              3,564      cache-misses                     #   44.56% of all cache refs         
    26.025833966              2,653      L1-dcache-load-misses                                                 
    26.025833966    <not supported>      LLC-load-misses                                                       
#           time             counts unit events
    27.026936101            213,537      cycles                                                                
    27.026936101             57,449      instructions                     #    0.27  insn per cycle            
    27.026936101              9,308      cache-references                                                      
    27.026936101              2,433      cache-misses                     #   26.14% of all cache refs         
    27.026936101              3,028      L1-dcache-load-misses                                                 
    27.026936101    <not supported>      LLC-load-misses                                                       
    28.028021497            215,693      cycles                                                                
    28.028021497             56,186      instructions                     #    0.26  insn per cycle            
    28.028021497              9,292      cache-references                                                      
    28.028021497              2,590      cache-misses                     #   27.87% of all cache refs         
    28.028021497              2,964      L1-dcache-load-misses                                                 
    28.028021497    <not supported>      LLC-load-misses                                                       
    29.028237059            189,147      cycles                                                                
    29.028237059             58,611      instructions                     #    0.31  insn per cycle            
    29.028237059              9,200      cache-references                                                      
    29.028237059              4,136      cache-misses                     #   44.96% of all cache refs         
    29.028237059              2,343      L1-dcache-load-misses                                                 
    29.028237059    <not supported>      LLC-load-misses                                                       
    30.029233576            175,687      cycles                                                                
    30.029233576             75,322      instructions                     #    0.43  insn per cycle            
    30.029233576              9,547      cache-references                                                      
    30.029233576              2,452      cache-misses                     #   25.68% of all cache refs         
    30.029233576              3,108      L1-dcache-load-misses                                                 
    30.029233576    <not supported>      LLC-load-misses                                                       
    31.030256132          2,096,688      cycles                                                                
    31.030256132            880,439      instructions                     #    0.42  insn per cycle            
    31.030256132            119,185      cache-references                                                      
    31.030256132             36,055      cache-misses                     #   30.25% of all cache refs         
    31.030256132             34,787      L1-dcache-load-misses                                                 
    31.030256132    <not supported>      LLC-load-misses                                                       
    32.031518646            187,391      cycles                                                                
    32.031518646             59,490      instructions                     #    0.32  insn per cycle            
    32.031518646              8,801      cache-references                                                      
    32.031518646              3,607      cache-misses                     #   40.98% of all cache refs         
    32.031518646              2,421      L1-dcache-load-misses                                                 
    32.031518646    <not supported>      LLC-load-misses                                                       
    33.032531162            202,075      cycles                                                                
    33.032531162             54,834      instructions                     #    0.27  insn per cycle            
    33.032531162              8,518      cache-references                                                      
    33.032531162              3,425      cache-misses                     #   40.21% of all cache refs         
    33.032531162              3,061      L1-dcache-load-misses                                                 
    33.032531162    <not supported>      LLC-load-misses                                                       
    34.033236651            183,072      cycles                                                                
    34.033236651             83,875      instructions                     #    0.46  insn per cycle            
    34.033236651             10,686      cache-references                                                      
    34.033236651              2,630      cache-misses                     #   24.61% of all cache refs         
    34.033236651              3,574      L1-dcache-load-misses                                                 
    34.033236651    <not supported>      LLC-load-misses                                                       
    35.034235657            221,221      cycles                                                                
    35.034235657             67,714      instructions                     #    0.31  insn per cycle            
    35.034235657              9,631      cache-references                                                      
    35.034235657              3,427      cache-misses                     #   35.58% of all cache refs         
    35.034235657              3,129      L1-dcache-load-misses                                                 
    35.034235657    <not supported>      LLC-load-misses                                                       
    36.035236184            365,284      cycles                                                                
    36.035236184            195,450      instructions                     #    0.54  insn per cycle            
    36.035236184             22,747      cache-references                                                      
    36.035236184              4,483      cache-misses                     #   19.71% of all cache refs         
    36.035236184             10,818      L1-dcache-load-misses                                                 
    36.035236184    <not supported>      LLC-load-misses                                                       
    37.036307239            269,884      cycles                                                                
    37.036307239            118,576      instructions                     #    0.44  insn per cycle            
    37.036307239             16,735      cache-references                                                      
    37.036307239              4,001      cache-misses                     #   23.91% of all cache refs         
    37.036307239              6,655      L1-dcache-load-misses                                                 
    37.036307239    <not supported>      LLC-load-misses                                                       
    38.037746083            332,958      cycles                                                                
    38.037746083            172,865      instructions                     #    0.52  insn per cycle            
    38.037746083             23,066      cache-references                                                      
    38.037746083              4,136      cache-misses                     #   17.93% of all cache refs         
    38.037746083              9,857      L1-dcache-load-misses                                                 
    38.037746083    <not supported>      LLC-load-misses                                                       
    39.038234733            223,094      cycles                                                                
    39.038234733             71,515      instructions                     #    0.32  insn per cycle            
    39.038234733             11,468      cache-references                                                      
    39.038234733              3,651      cache-misses                     #   31.84% of all cache refs         
    39.038234733              3,964      L1-dcache-load-misses                                                 
    39.038234733    <not supported>      LLC-load-misses                                                       
    40.039307448            203,397      cycles                                                                
    40.039307448             57,611      instructions                     #    0.28  insn per cycle            
    40.039307448             10,127      cache-references                                                      
    40.039307448              3,214      cache-misses                     #   31.74% of all cache refs         
    40.039307448              3,647      L1-dcache-load-misses                                                 
    40.039307448    <not supported>      LLC-load-misses                                                       
    41.040386394            137,023      cycles                                                                
