# started on Fri Apr  3 19:30:45 2026

#           time             counts   unit events
     1.001123312              54.11 Joules power/energy-pkg/                                                     
     2.003474492              54.85 Joules power/energy-pkg/                                                     
     3.005027780              55.22 Joules power/energy-pkg/                                                     
     4.009190978              62.23 Joules power/energy-pkg/                                                     
     5.009921284              57.56 Joules power/energy-pkg/                                                     
     6.013916691              54.20 Joules power/energy-pkg/                                                     
     7.017871551              54.05 Joules power/energy-pkg/                                                     
     8.021915545              54.38 Joules power/energy-pkg/                                                     
     9.023932826              53.64 Joules power/energy-pkg/                                                     
    10.027871696              54.07 Joules power/energy-pkg/                                                     
    11.031919890              54.12 Joules power/energy-pkg/                                                     
    12.035917545              54.01 Joules power/energy-pkg/                                                     
    13.038916632              53.03 Joules power/energy-pkg/                                                     
    14.042909235              52.95 Joules power/energy-pkg/                                                     
    15.046914790              52.84 Joules power/energy-pkg/                                                     
    16.050906826              52.88 Joules power/energy-pkg/                                                     
    17.054902630              52.91 Joules power/energy-pkg/                                                     
    18.056916034              52.91 Joules power/energy-pkg/                                                     
    19.060920272              52.99 Joules power/energy-pkg/                                                     
    20.063908602              52.89 Joules power/energy-pkg/                                                     
    21.067912196              53.34 Joules power/energy-pkg/                                                     
    22.071873836              54.25 Joules power/energy-pkg/                                                     
    23.075916460              56.27 Joules power/energy-pkg/                                                     
    24.079913518              53.72 Joules power/energy-pkg/                                                     
    25.083906801              52.89 Joules power/energy-pkg/                                                     
    26.086905069              52.82 Joules power/energy-pkg/                                                     
#           time             counts   unit events
    27.088916863              53.40 Joules power/energy-pkg/                                                     
    28.091915701              53.12 Joules power/energy-pkg/                                                     
    29.096009455              51.85 Joules power/energy-pkg/                                                     
    30.097416745              51.59 Joules power/energy-pkg/                                                     
    31.098842472              52.18 Joules power/energy-pkg/                                                     
    32.100253156              53.38 Joules power/energy-pkg/                                                     
    33.101682543              53.64 Joules power/energy-pkg/                                                     
    34.102920870              53.70 Joules power/energy-pkg/                                                     
    35.104337690              53.77 Joules power/energy-pkg/                                                     
    36.105840418              53.55 Joules power/energy-pkg/                                                     
    37.107245882              53.43 Joules power/energy-pkg/                                                     
    38.108681882              53.36 Joules power/energy-pkg/                                                     
    39.110147080              53.33 Joules power/energy-pkg/                                                     
    40.111597384              53.31 Joules power/energy-pkg/                                                     
    41.113106472              53.33 Joules power/energy-pkg/                                                     
    42.114575319              53.91 Joules power/energy-pkg/                                                     
    43.116098834              53.49 Joules power/energy-pkg/                                                     
    44.117569345              53.23 Joules power/energy-pkg/                                                     
    45.119092962              52.25 Joules power/energy-pkg/                                                     
    46.120562466              51.65 Joules power/energy-pkg/                                                     
    47.121859646              52.71 Joules power/energy-pkg/                                                     
    48.122903678              52.78 Joules power/energy-pkg/                                                     
    49.127054149              54.39 Joules power/energy-pkg/                                                     
    50.128518483              53.94 Joules power/energy-pkg/                                                     
    51.130033331              53.89 Joules power/energy-pkg/                                                     
    52.131512056              54.76 Joules power/energy-pkg/                                                     
#           time             counts   unit events
