# started on Sat Mar  7 14:20:44 2026

#           time             counts unit events
     1.000647922      4,275,290,213      cycles                                                                
     1.000647922      7,429,601,728      instructions                     #    1.74  insn per cycle            
     1.000647922        302,897,332      cache-references                                                      
     1.000647922         30,059,007      cache-misses                     #    9.92% of all cache refs         
     1.000647922        138,550,785      L1-dcache-load-misses                                                 
     1.000647922    <not supported>      LLC-load-misses                                                       
     2.002029277            146,229      cycles                                                                
     2.002029277             93,146      instructions                     #    0.64  insn per cycle            
     2.002029277              9,922      cache-references                                                      
     2.002029277              1,201      cache-misses                     #   12.10% of all cache refs         
     2.002029277              3,944      L1-dcache-load-misses                                                 
     2.002029277    <not supported>      LLC-load-misses                                                       
     3.002654299            189,587      cycles                                                                
     3.002654299             61,403      instructions                     #    0.32  insn per cycle            
     3.002654299              9,985      cache-references                                                      
     3.002654299              3,616      cache-misses                     #   36.21% of all cache refs         
     3.002654299              3,358      L1-dcache-load-misses                                                 
     3.002654299    <not supported>      LLC-load-misses                                                       
     4.003744037            193,556      cycles                                                                
     4.003744037             58,271      instructions                     #    0.30  insn per cycle            
     4.003744037              8,166      cache-references                                                      
     4.003744037              3,695      cache-misses                     #   45.25% of all cache refs         
     4.003744037              2,818      L1-dcache-load-misses                                                 
     4.003744037    <not supported>      LLC-load-misses                                                       
     5.004843754            214,778      cycles                                                                
     5.004843754             75,304      instructions                     #    0.35  insn per cycle            
     5.004843754             10,934      cache-references                                                      
     5.004843754              3,037      cache-misses                     #   27.78% of all cache refs         
     5.004843754              3,383      L1-dcache-load-misses                                                 
     5.004843754    <not supported>      LLC-load-misses                                                       
     6.005927872            151,716      cycles                                                                
     6.005927872             95,111      instructions                     #    0.63  insn per cycle            
     6.005927872             11,471      cache-references                                                      
     6.005927872              1,375      cache-misses                     #   11.99% of all cache refs         
     6.005927872              4,239      L1-dcache-load-misses                                                 
     6.005927872    <not supported>      LLC-load-misses                                                       
     7.007252328            210,120      cycles                                                                
     7.007252328            154,709      instructions                     #    0.74  insn per cycle            
     7.007252328             19,305      cache-references                                                      
     7.007252328              3,381      cache-misses                     #   17.51% of all cache refs         
     7.007252328              7,208      L1-dcache-load-misses                                                 
