# started on Sun Mar  1 09:34:51 2026

#           time             counts unit events
     1.003290955      4,028,684,642      cycles                                                                
     1.003290955      6,635,804,420      instructions                     #    1.65  insn per cycle            
     1.003290955        283,512,678      cache-references                                                      
     1.003290955         28,892,703      cache-misses                     #   10.19% of all cache refs         
     1.003290955        128,759,535      L1-dcache-load-misses                                                 
     1.003290955    <not supported>      LLC-load-misses                                                       
     2.004045804        458,182,935      cycles                                                                
     2.004045804        780,177,908      instructions                     #    1.70  insn per cycle            
     2.004045804         29,287,007      cache-references                                                      
     2.004045804          1,987,749      cache-misses                     #    6.79% of all cache refs         
     2.004045804         16,401,055      L1-dcache-load-misses                                                 
     2.004045804    <not supported>      LLC-load-misses                                                       
     3.005102511            143,137      cycles                                                                
     3.005102511             46,757      instructions                     #    0.33  insn per cycle            
     3.005102511              6,692      cache-references                                                      
     3.005102511              3,075      cache-misses                     #   45.95% of all cache refs         
     3.005102511              1,699      L1-dcache-load-misses                                                 
     3.005102511    <not supported>      LLC-load-misses                                                       
     4.006197428            181,372      cycles                                                                
     4.006197428             45,859      instructions                     #    0.25  insn per cycle            
     4.006197428              7,661      cache-references                                                      
     4.006197428              3,378      cache-misses                     #   44.09% of all cache refs         
     4.006197428              2,319      L1-dcache-load-misses                                                 
     4.006197428    <not supported>      LLC-load-misses                                                       
     5.007285104            137,312      cycles                                                                
     5.007285104             46,402      instructions                     #    0.34  insn per cycle            
     5.007285104              6,669      cache-references                                                      
     5.007285104              2,873      cache-misses                     #   43.08% of all cache refs         
     5.007285104              1,660      L1-dcache-load-misses                                                 
     5.007285104    <not supported>      LLC-load-misses                                                       
     6.008309181            204,367      cycles                                                                
     6.008309181             75,144      instructions                     #    0.37  insn per cycle            
     6.008309181             12,045      cache-references                                                      
     6.008309181              4,446      cache-misses                     #   36.91% of all cache refs         
     6.008309181              3,102      L1-dcache-load-misses                                                 
     6.008309181    <not supported>      LLC-load-misses                                                       
     7.009425158            167,156      cycles                                                                
     7.009425158             70,023      instructions                     #    0.42  insn per cycle            
     7.009425158             10,108      cache-references                                                      
     7.009425158              2,887      cache-misses                     #   28.56% of all cache refs         
     7.009425158              3,110      L1-dcache-load-misses                                                 
     7.009425158    <not supported>      LLC-load-misses                                                       
     8.010502705            125,916      cycles                                                                
     8.010502705             43,849      instructions                     #    0.35  insn per cycle            
     8.010502705              5,975      cache-references                                                      
     8.010502705              2,165      cache-misses                     #   36.23% of all cache refs         
     8.010502705              1,543      L1-dcache-load-misses                                                 
     8.010502705    <not supported>      LLC-load-misses                                                       
     9.011560462            135,633      cycles                                                                
     9.011560462             48,302      instructions                     #    0.36  insn per cycle            
     9.011560462              5,846      cache-references                                                      
     9.011560462              2,402      cache-misses                     #   41.09% of all cache refs         
     9.011560462              1,721      L1-dcache-load-misses                                                 
     9.011560462    <not supported>      LLC-load-misses                                                       
    10.012560239            184,883      cycles                                                                
    10.012560239             44,128      instructions                     #    0.24  insn per cycle            
    10.012560239              7,709      cache-references                                                      
    10.012560239              3,067      cache-misses                     #   39.78% of all cache refs         
    10.012560239              2,332      L1-dcache-load-misses                                                 
    10.012560239    <not supported>      LLC-load-misses                                                       
    11.013253578            149,589      cycles                                                                
    11.013253578             56,965      instructions                     #    0.38  insn per cycle            
    11.013253578              7,702      cache-references                                                      
    11.013253578              1,714      cache-misses                     #   22.25% of all cache refs         
    11.013253578              2,316      L1-dcache-load-misses                                                 
    11.013253578    <not supported>      LLC-load-misses                                                       
    12.014319435            182,309      cycles                                                                
    12.014319435             46,961      instructions                     #    0.26  insn per cycle            
    12.014319435              7,395      cache-references                                                      
    12.014319435              3,311      cache-misses                     #   44.77% of all cache refs         
    12.014319435              2,128      L1-dcache-load-misses                                                 
    12.014319435    <not supported>      LLC-load-misses                                                       
    13.015368482            150,240      cycles                                                                
    13.015368482             46,755      instructions                     #    0.31  insn per cycle            
    13.015368482              7,149      cache-references                                                      
    13.015368482              3,295      cache-misses                     #   46.09% of all cache refs         
    13.015368482              1,613      L1-dcache-load-misses                                                 
    13.015368482    <not supported>      LLC-load-misses                                                       
    14.016286879            104,978      cycles                                                                
