# started on Sat Mar 14 21:33:53 2026

#           time             counts   unit events
     1.001044922             381.49 Joules power/energy-pkg/                                                     
     2.003257126             342.21 Joules power/energy-pkg/                                                     
     3.004525840             312.03 Joules power/energy-pkg/                                                     
     4.005634683             315.91 Joules power/energy-pkg/                                                     
     5.006877117             323.59 Joules power/energy-pkg/                                                     
     6.008868154             321.43 Joules power/energy-pkg/                                                     
     7.010081914             329.58 Joules power/energy-pkg/                                                     
     8.010654395             318.54 Joules power/energy-pkg/                                                     
     9.013653734             317.45 Joules power/energy-pkg/                                                     
    10.014656707             319.82 Joules power/energy-pkg/                                                     
    11.015896085             319.21 Joules power/energy-pkg/                                                     
    12.019289578             319.24 Joules power/energy-pkg/                                                     
    13.019653285             320.94 Joules power/energy-pkg/                                                     
    14.021654852             321.65 Joules power/energy-pkg/                                                     
    15.022628990             326.69 Joules power/energy-pkg/                                                     
    16.023658382             330.63 Joules power/energy-pkg/                                                     
    17.026656650             326.96 Joules power/energy-pkg/                                                     
    18.030658992             323.10 Joules power/energy-pkg/                                                     
    19.031656103             321.52 Joules power/energy-pkg/                                                     
    20.032666590             326.77 Joules power/energy-pkg/                                                     
    21.033652961             331.82 Joules power/energy-pkg/                                                     
    22.036807474             340.06 Joules power/energy-pkg/                                                     
    23.038047363             343.66 Joules power/energy-pkg/                                                     
    24.039280721             339.47 Joules power/energy-pkg/                                                     
    25.040510040             342.34 Joules power/energy-pkg/                                                     
    26.041717175             341.07 Joules power/energy-pkg/                                                     
#           time             counts   unit events
    27.042916756             353.29 Joules power/energy-pkg/                                                     
    28.047713766             353.66 Joules power/energy-pkg/                                                     
    29.048974313             361.46 Joules power/energy-pkg/                                                     
    30.050620748             366.44 Joules power/energy-pkg/                                                     
    31.050928116             344.21 Joules power/energy-pkg/                                                     
    32.052135923             331.70 Joules power/energy-pkg/                                                     
    33.053331808             344.35 Joules power/energy-pkg/                                                     
    34.054490502             349.05 Joules power/energy-pkg/                                                     
    35.055647082             357.38 Joules power/energy-pkg/                                                     
    36.056629294             347.40 Joules power/energy-pkg/                                                     
    37.057896984             336.86 Joules power/energy-pkg/                                                     
    38.059190944             335.50 Joules power/energy-pkg/                                                     
    39.060434558             335.38 Joules power/energy-pkg/                                                     
    40.061678293             330.20 Joules power/energy-pkg/                                                     
    41.062922559             323.22 Joules power/energy-pkg/                                                     
    42.063633729             318.72 Joules power/energy-pkg/                                                     
    43.066639749             316.15 Joules power/energy-pkg/                                                     
    44.068858654             310.97 Joules power/energy-pkg/                                                     
    45.070054309             316.13 Joules power/energy-pkg/                                                     
    46.071783149             315.92 Joules power/energy-pkg/                                                     
    47.072973243             315.05 Joules power/energy-pkg/                                                     
    48.074157646             313.71 Joules power/energy-pkg/                                                     
    49.075341708             317.11 Joules power/energy-pkg/                                                     
    50.076523756             314.67 Joules power/energy-pkg/                                                     
    51.077631414             317.82 Joules power/energy-pkg/                                                     
    52.078824794             321.39 Joules power/energy-pkg/                                                     
#           time             counts   unit events
    53.080065243             321.29 Joules power/energy-pkg/                                                     
    54.080628233             332.63 Joules power/energy-pkg/                                                     
    55.081844627             338.11 Joules power/energy-pkg/                                                     
    56.083055840             333.20 Joules power/energy-pkg/                                                     
    57.084240113             347.25 Joules power/energy-pkg/                                                     
    58.086137281             342.00 Joules power/energy-pkg/                                                     
    59.086639126             331.06 Joules power/energy-pkg/                                                     
    60.088690124             325.71 Joules power/energy-pkg/                                                     
    61.089858707             326.90 Joules power/energy-pkg/                                                     
    62.091058419             326.53 Joules power/energy-pkg/                                                     
    63.092234967             326.63 Joules power/energy-pkg/                                                     
    64.093433386             337.08 Joules power/energy-pkg/                                                     
    65.094813238             336.27 Joules power/energy-pkg/                                                     
    66.096032727             322.83 Joules power/energy-pkg/                                                     
    67.097240695             316.46 Joules power/energy-pkg/                                                     
    68.098444053             321.41 Joules power/energy-pkg/                                                     
    69.099651209             324.49 Joules power/energy-pkg/                                                     
    70.100839229             325.09 Joules power/energy-pkg/                                                     
    71.102029293             335.13 Joules power/energy-pkg/                                                     
    72.104787986             336.52 Joules power/energy-pkg/                                                     
    73.105978651             328.04 Joules power/energy-pkg/                                                     
    74.106977223             320.55 Joules power/energy-pkg/                                                     
    75.107622439             327.58 Joules power/energy-pkg/                                                     
    76.108882314             332.46 Joules power/energy-pkg/                                                     
    77.110108997             332.36 Joules power/energy-pkg/                                                     
    78.111305383             326.82 Joules power/energy-pkg/                                                     
#           time             counts   unit events
    79.112509282             331.44 Joules power/energy-pkg/                                                     
    80.113752015             336.32 Joules power/energy-pkg/                                                     
    81.114940907             342.09 Joules power/energy-pkg/                                                     
    82.116136591             341.26 Joules power/energy-pkg/                                                     
    83.119153502             337.55 Joules power/energy-pkg/                                                     
    84.120335640             333.94 Joules power/energy-pkg/                                                     
    85.122769311             330.92 Joules power/energy-pkg/                                                     
    86.123966127             331.57 Joules power/energy-pkg/                                                     
    87.125138718             332.08 Joules power/energy-pkg/                                                     
    88.126310837             333.02 Joules power/energy-pkg/                                                     
    89.128760638             332.57 Joules power/energy-pkg/                                                     
    90.129956152             331.10 Joules power/energy-pkg/                                                     
    91.131140854             329.92 Joules power/energy-pkg/                                                     
    92.132336983             328.39 Joules power/energy-pkg/                                                     
    93.133312065             322.67 Joules power/energy-pkg/                                                     
    94.134510519             320.65 Joules power/energy-pkg/                                                     
    95.135768124             322.48 Joules power/energy-pkg/                                                     
    96.136966758             323.58 Joules power/energy-pkg/                                                     
    97.138181252             322.01 Joules power/energy-pkg/                                                     
    98.139887905             338.61 Joules power/energy-pkg/                                                     
    99.141088853             329.65 Joules power/energy-pkg/                                                     
   100.142296823             325.76 Joules power/energy-pkg/                                                     
   101.143489637             326.80 Joules power/energy-pkg/                                                     
   102.147794863             320.29 Joules power/energy-pkg/                                                     
   103.149000340             316.87 Joules power/energy-pkg/                                                     
   104.150226987             334.87 Joules power/energy-pkg/                                                     
#           time             counts   unit events
   105.151458663             344.57 Joules power/energy-pkg/                                                     
   106.154935286             360.38 Joules power/energy-pkg/                                                     
   107.156204203             354.53 Joules power/energy-pkg/                                                     
   108.157422684             342.07 Joules power/energy-pkg/                                                     
   109.158666373             340.19 Joules power/energy-pkg/                                                     
   110.160768863             335.35 Joules power/energy-pkg/                                                     
   111.162799897             331.00 Joules power/energy-pkg/                                                     
   112.164810494             330.38 Joules power/energy-pkg/                                                     
   113.166037792             323.18 Joules power/energy-pkg/                                                     
   114.167288784             322.31 Joules power/energy-pkg/                                                     
   115.168554485             326.25 Joules power/energy-pkg/                                                     
   116.169956002             332.41 Joules power/energy-pkg/                                                     
   117.171209449             333.46 Joules power/energy-pkg/                                                     
   118.172421088             328.97 Joules power/energy-pkg/                                                     
   119.173743816             330.10 Joules power/energy-pkg/                                                     
   120.176388208             319.66 Joules power/energy-pkg/                                                     
   121.177630815             332.84 Joules power/energy-pkg/                                                     
   122.178864275             322.85 Joules power/energy-pkg/                                                     
   123.180098165             324.72 Joules power/energy-pkg/                                                     
   124.181319562             332.44 Joules power/energy-pkg/                                                     
   125.182581265             332.63 Joules power/energy-pkg/                                                     
   126.183821478             333.91 Joules power/energy-pkg/                                                     
   127.187792644             336.10 Joules power/energy-pkg/                                                     
   128.188669030             336.21 Joules power/energy-pkg/                                                     
   129.189891088             329.50 Joules power/energy-pkg/                                                     
   130.191102596             328.72 Joules power/energy-pkg/                                                     
#           time             counts   unit events
   131.192344572             335.84 Joules power/energy-pkg/                                                     
   132.193541713             335.77 Joules power/energy-pkg/                                                     
   133.195777685             334.29 Joules power/energy-pkg/                                                     
   134.196757876             334.93 Joules power/energy-pkg/                                                     
   135.197976889             335.35 Joules power/energy-pkg/                                                     
   136.199174531             334.35 Joules power/energy-pkg/                                                     
   137.200413521             326.44 Joules power/energy-pkg/                                                     
   138.201727633             329.38 Joules power/energy-pkg/                                                     
   139.202482670             325.00 Joules power/energy-pkg/                                                     
   140.203718574             327.62 Joules power/energy-pkg/                                                     
