# started on Fri Apr  3 18:01:39 2026

#           time             counts   unit events
     1.001086068              87.76 Joules power/energy-pkg/                                                     
     2.002583734              97.73 Joules power/energy-pkg/                                                     
     3.005662451              96.06 Joules power/energy-pkg/                                                     
     4.006600020              89.87 Joules power/energy-pkg/                                                     
     5.010604327              88.90 Joules power/energy-pkg/                                                     
     6.011598208              89.17 Joules power/energy-pkg/                                                     
     7.012602210              92.33 Joules power/energy-pkg/                                                     
     8.013595599              94.60 Joules power/energy-pkg/                                                     
     9.014568441              92.51 Joules power/energy-pkg/                                                     
    10.015604154              92.25 Joules power/energy-pkg/                                                     
    11.016592365              90.53 Joules power/energy-pkg/                                                     
    12.017588067              93.58 Joules power/energy-pkg/                                                     
    13.018592415              95.55 Joules power/energy-pkg/                                                     
    14.019589548              93.15 Joules power/energy-pkg/                                                     
    15.020590795              91.59 Joules power/energy-pkg/                                                     
    16.021591807              89.90 Joules power/energy-pkg/                                                     
    17.022589026              90.66 Joules power/energy-pkg/                                                     
    18.025592922              90.51 Joules power/energy-pkg/                                                     
    19.026592821              90.24 Joules power/energy-pkg/                                                     
    20.027593165              90.14 Joules power/energy-pkg/                                                     
    21.028586628              87.64 Joules power/energy-pkg/                                                     
    22.029590991              90.02 Joules power/energy-pkg/                                                     
    23.030587828              91.65 Joules power/energy-pkg/                                                     
    24.034586348              90.62 Joules power/energy-pkg/                                                     
    25.035589200              93.44 Joules power/energy-pkg/                                                     
    26.036590290              88.10 Joules power/energy-pkg/                                                     
#           time             counts   unit events
    27.037594643              89.22 Joules power/energy-pkg/                                                     
    28.038584379              88.93 Joules power/energy-pkg/                                                     
    29.039590901              91.28 Joules power/energy-pkg/                                                     
    30.040590274              92.95 Joules power/energy-pkg/                                                     
    31.041596557              92.91 Joules power/energy-pkg/                                                     
    32.042591811              90.93 Joules power/energy-pkg/                                                     
    33.046590235              90.97 Joules power/energy-pkg/                                                     
    34.047887359              91.53 Joules power/energy-pkg/                                                     
    35.048591366              91.95 Joules power/energy-pkg/                                                     
    36.051591852              90.65 Joules power/energy-pkg/                                                     
    37.052588551              92.95 Joules power/energy-pkg/                                                     
    38.053896293              93.17 Joules power/energy-pkg/                                                     
    39.055187527              90.76 Joules power/energy-pkg/                                                     
    40.056484025              89.87 Joules power/energy-pkg/                                                     
    41.057774002              91.19 Joules power/energy-pkg/                                                     
    42.059062272              93.15 Joules power/energy-pkg/                                                     
    43.060345490              92.58 Joules power/energy-pkg/                                                     
    44.061653054              91.97 Joules power/energy-pkg/                                                     
    45.062930517              90.38 Joules power/energy-pkg/                                                     
    46.063608659              94.27 Joules power/energy-pkg/                                                     
    47.064599877              94.86 Joules power/energy-pkg/                                                     
    48.066602013              95.35 Joules power/energy-pkg/                                                     
    49.067595202              94.25 Joules power/energy-pkg/                                                     
    50.068598792              89.98 Joules power/energy-pkg/                                                     
    51.069600434              89.98 Joules power/energy-pkg/                                                     
    52.070595344              93.27 Joules power/energy-pkg/                                                     
#           time             counts   unit events
    53.071583742              90.62 Joules power/energy-pkg/                                                     
    54.072578142              95.03 Joules power/energy-pkg/                                                     
    55.075576280              95.62 Joules power/energy-pkg/                                                     
    56.076559117              92.67 Joules power/energy-pkg/                                                     
    57.077596436              94.02 Joules power/energy-pkg/                                                     
    58.078585994              93.37 Joules power/energy-pkg/                                                     
    59.079587051              92.09 Joules power/energy-pkg/                                                     
    60.080590632              91.57 Joules power/energy-pkg/                                                     
    61.081556528              88.56 Joules power/energy-pkg/                                                     
